study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	0.0	hr		3.492049203812461e-05	30.2214265517838	1.674006617005282e-05	8.37003308502641e-06	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	0.5	hr		0.00019619442100696582	187.938496428901	0.00012506796605098462	6.253398302549231e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	1.0	hr		0.0008011434303018495	673.513734928739	0.0003501620994908667	0.00017508104974543417	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	0.951548403388351	hr		0.0010630285321160274	982.032779063126	0.0006156599791029915	0.00030782998955149573	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	1.5	hr		0.0010553470852823368	900.182796153666	0.0004834269252367504	0.00024171346261837607	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	2.0	hr		0.0009465666967564325	756.380210136963	0.00034639092740931625	0.00017319546370465812	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	4.0	hr		0.0005110162199355487	393.799890054774	0.0001621459852862872	8.10729926431436e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	6.0	hr		0.00029024543226608893	240.492956954736	0.00012085363945140856	6.042681972570428e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	8.0	hr		0.00019336926256617606	142.669358559455	5.050998283460171e-05	2.5254991417300854e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	10.0	hr		0.00012605517200605282	105.207631619251	5.3786933326000174e-05	2.6893466663000175e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	12.0	hr		8.645321369606119e-05	79.866049818891	5.0069948387513167e-05	2.5034974193756583e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	18.0	hr		4.9460836467635734e-05	43.430544633167	2.477941076854718e-05	1.238970538427359e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_normal	24.0	hr		3.8933589799159146e-05	33.9397517532373	1.908307986449436e-05	9.54153993224718e-06	time adjusted				mole/meter^3	ng/ml
