study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	0.0	hr		0.0003355502137042325	70.082262445812	0.00021575147448062222	0.000124564171869446	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	0.5	hr		0.0005697427134178497	435.88314797723	0.00017535668483382565	0.00010124222919300957	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	1.0	hr		0.001441545603424089	1312.53301473522	0.0008021005756104752	0.00046309298324586154	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	1.5	hr		0.0015840659828430753	1203.13666146209	0.0004725778829040872	0.0002728429679077384	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	2.0	hr		0.001654515749360723	1220.71469661332	0.0004321760397218752	0.0002495169528707316	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	4.0	hr		0.0015387740105190873	1151.90674907137	0.00043029735541487863	0.0002484322939803641	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	6.0	hr		0.0011851928308748497	926.678599963199	0.00039887315196822566	0.00023028952166136924	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	8.0	hr		0.0009603962002546788	767.431056102639	0.00035145175889513165	0.0002029107676052718	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	10.0	hr		0.0007559854296005214	617.378044890167	0.00029936165568181537	0.00017283653249294874	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	12.0	hr		0.0006306280263997008	503.920707078502	0.00023077489168320855	0.00013323794583550716	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	18.0	hr		0.0004964051287681914	393.799890054774	0.00017675707645364446	0.0001020507456716829	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_severe	24.0	hr		0.00041710530040684786	316.801625718236	0.0001244359401371453	7.184312353504497e-05	time adjusted				mole/meter^3	ng/ml
