study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	0.0	hr		0.00020966993194709532	149.1933916623204	0.00015521938982842034	6.336805054429655e-05	time adjusted, values adjusted		155.101451658204	269.92360314325	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	0.5	hr		0.00041522474805881005	280.94523011489065	0.00027189626534850894	0.00011100118551203763	time adjusted, values adjusted		307.158783285071	508.291606977878	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	1.0	hr		0.0009029040480733432	426.3009758429801	0.000139720375263439	5.7040604344268384e-05	time adjusted, values adjusted		667.915171544865	771.272066013913	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	1.5	hr		0.0011201413089609684	725.89691805444	0.0006552190549037037	0.0002674920590437851	time adjusted, values adjusted	1.6183876697588555	828.614486916534	1313.30690621547	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	2.0	hr		0.0011037998250653905	715.2693512653915	0.0006455681969497381	0.000263552112782569	time adjusted, values adjusted		816.526020769214	1294.07930445387	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	4.0	hr		0.0007975337237520356	535.7560176688377	0.0005127900630199883	0.00020934566659476687	time adjusted, values adjusted		589.96841917956	969.300269157794	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	6.0	hr		0.0005845740288037381	418.9651984655428	0.0004401089374609526	0.00017967372133630111	time adjusted, values adjusted		432.433394846631	758.000034059198	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	8.0	hr		0.00044418055871580785	309.31936949890854	0.00031233642699591326	0.00012751081237067277	time adjusted, values adjusted		328.578584518057	559.6266550875	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	10.0	hr		0.0004218643729502731	267.5441259928131	0.00023248092740659357	9.490994117919528e-05	time adjusted, values adjusted		312.070386248684	484.046067209493	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	12.0	hr		0.0003494526278435115	255.92122870161984	0.00027646600386271484	0.00011286677344832909	time adjusted, values adjusted		258.504447256552	463.017694029911	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	18.0	hr		0.00024473508955034386	193.99238157144964	0.00022972123691643109	9.378330225437708e-05	time adjusted, values adjusted		181.040587500819	350.9748121728	mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_moderate	24.0	hr		0.00024210523110959817	140.8357909971959	0.00010234351213633857	4.178156386972784e-05	time adjusted, values adjusted		179.095173306102	254.802868504622	mole/meter^3	ng/ml
