study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	0.0	hr		2.7167511550345956e-05	16.7401260740776	1.3774605131551827e-05	6.887302565775902e-06	time adjusted, values adjusted		20.0969230078393	30.2865636114396	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	0.5	hr		0.00015054219022536536	101.128056986015	9.679147324963841e-05	4.839573662481921e-05	time adjusted, values adjusted		111.362235027821	182.962859255348	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	1.0	hr		0.000621078032945296	426.309945183243	0.00042156832713043167	0.00021078416356521584	time adjusted, values adjusted		459.436904511152	771.288293519801	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	1.5	hr		0.0008280117881207074	528.901687317605	0.0004655480393015118	0.0002327740196507564	time adjusted, values adjusted	1.97585256110606	612.51429394288	956.899280582332	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	2.0	hr		0.0007167873313345001	560.040734174196	0.000652930733135876	0.00032646536656793677	time adjusted, values adjusted		530.236999591544	1013.23665338636	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	4.0	hr		0.00038008715568839965	222.698379987285	0.00016457678638477402	8.228839319238713e-05	time adjusted, values adjusted		281.166064473105	402.910266135561	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	6.0	hr		0.00022450377822121715	128.732169091712	9.034256548871607e-05	4.5171282744358036e-05	time adjusted, values adjusted		166.074656396838	232.904758947555	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	8.0	hr		0.0001424982549794462	83.4925987371438	6.170353564293241e-05	3.0851767821466326e-05	time adjusted, values adjusted		105.411806074558	151.056443156223	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	10.0	hr		9.309522777505658e-05	56.5451577958482	4.519993428222823e-05	2.2599967141114114e-05	time adjusted, values adjusted		68.8663597888026	102.302605782329	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	12.0	hr		6.630066422926924e-05	42.350282549391	3.7277421262780866e-05	1.8638710631390484e-05	time adjusted, values adjusted		49.0453217224181	76.6209597656956	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	18.0	hr		3.714931504245621e-05	23.0565228576372	1.9241111465621432e-05	9.620555732810728e-06	time adjusted, values adjusted		27.4808726157586	41.7143122516727	mole/meter^3	ng/ml
Kasichayanula2013		normal	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_normal	24.0	hr		2.8981749911292263e-05	17.7301756176502	1.4381777681995022e-05	7.190888840997498e-06	time adjusted, values adjusted		21.4389895637048	32.0777806158516	mole/meter^3	ng/ml
