study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	0.0	hr		7.176776623831208e-05	40.272512450401166	2.672861882600171e-05	1.3364309413000857e-05	time adjusted, values adjusted		53.0895613999509	72.8618174513227	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	0.5	hr		0.00017259336368698742	149.15259044207784	0.00019219616861785509	9.609808430892754e-05	time adjusted, values adjusted		127.674392822232	269.849784777317	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	1.0	hr		0.0007932245899309724	426.30994518324326	0.00024942177014475607	0.00012471088507237803	time adjusted, values adjusted	1.6390524471604302	586.780776083434	771.288293519801	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	4.0	hr		0.0005292107103344681	358.0692757097511	0.00034653622260008896	0.00017326811130004448	time adjusted, values adjusted		391.478876554681	647.825939189233	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	6.0	hr		0.0003217065831800523	176.6761592511814	0.00011039864081659557	5.5199320408297785e-05	time adjusted, values adjusted		237.979559567068	319.64596396151	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	8.0	hr		0.00020716391738763947	123.1422589886019	9.40109192697136e-05	4.70054596348568e-05	time adjusted, values adjusted		153.247649863933	222.791384223202	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	10.0	hr		0.0001596957217081068	94.92624087212197	7.246986729415543e-05	3.623493364707771e-05	time adjusted, values adjusted		118.133477845463	171.74241220443	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	12.0	hr		0.00012399177562994035	72.12840227208673	5.2416063166181535e-05	2.6208031583090768e-05	time adjusted, values adjusted		91.72180395773	130.496116572732	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	18.0	hr		6.947383005450166e-05	38.15272281235956	2.383808541157109e-05	1.1919042705785545e-05	time adjusted, values adjusted		51.392642681963	69.0266525647909	mole/meter^3	ng/ml
Kasichayanula2013		mild	4.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_mild	24.0	hr		6.488273871229642e-05	36.93712059381534	2.545612101631208e-05	1.272806050815604e-05	time adjusted, values adjusted		47.9964240384089	66.8273612479138	mole/meter^3	ng/ml
