study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	0.0	hr		0.00012048147941135203	55.272451139866654	1.4700963889787085e-05	8.48760545911554e-06	time adjusted, values adjusted		89.1250938133745	100.0	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	0.5	hr		0.00034190718727852983	219.97415750853696	0.00019609399526112676	0.00011321492095048074	time adjusted, values adjusted		252.922775272585	397.98154952798	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	1.0	hr		0.0009633111788656116	568.5054097053536	0.00042710934218946823	0.0002465916936864935	time adjusted, values adjusted		712.600804765521	1028.55110996752	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	2.0	hr		0.0009154716285934513	628.389259888568	0.0006214096521185742	0.00035877102992769056	time adjusted, values adjusted	2.003585581413553	677.211926517781	1136.89414333812	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	3.99999999999999	hr		0.000763842159232629	575.733667258004	0.0006442568525827856	0.0003719618672659323	time adjusted, values adjusted		565.045386501157	1041.62861495162	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	6.0	hr		0.0005598788804717602	440.6132148100812	0.0005177496614228657	0.00029892290639532904	time adjusted, values adjusted		414.165380355307	797.16604877014	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	8.0	hr		0.00046378711995029407	395.0545938083259	0.0005024165516257843	0.0002900703313264701	time adjusted, values adjusted		343.082362342822	714.740500305735	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	10.0	hr		0.00039257519053186425	315.6903327847205	0.0003795235608768141	0.00021911803003603396	time adjusted, values adjusted		290.403976245158	571.153126511194	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	12.0	hr		0.0003137057276209171	218.4521443605073	0.00022057299550461902	0.0001273478783305539	time adjusted, values adjusted		232.060998425728	395.227893562591	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	18.0	hr		0.00023104482309881208	147.58243606689442	0.00012990450851979428	7.500040296284927e-05	time adjusted, values adjusted		170.913335679342	267.009030761885	mole/meter^3	ng/ml
Kasichayanula2013		severe	3.0	DAP20_d10	concentration	dapagliflozin	plasma	HPLC MS/MS	dapagliflozin_DAP20_d10_severe	24.0	hr		0.0001937018381233362	142.8772350912251	0.0001557397613249646	8.991639312449641e-05	time adjusted, values adjusted		143.28919746763	258.496289100107	mole/meter^3	ng/ml
