study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	factor	raw	rawpm	mean_unit	value_unit
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	0.0	hr		0.00029448596833674183	233.616728017	0.00010485886588035218	4.280845273563327e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	0.5	hr		0.0007082180130698172	511.283075948294	0.00016577015094436067	6.76753807329718e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	1.5	hr		0.0018716050685943246	1331.70934956831	0.000404821169983983	0.00016526755058954195	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	2.0	hr		0.0018989495430324788	1351.16585397694	0.0004107356774409231	0.00016768213814777355	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	4.0	hr		0.0011938193726495896	996.380448170844	0.0005093950686680924	0.00020795966595447087	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	6.0	hr		0.0009195022479918958	801.561792641648	0.000450688850540836	0.00018399295276441978	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	8.0	hr		0.0006731622052218359	574.189330327705	0.00030835801756056574	0.00012588663351992686	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	10.0	hr		0.0005780667532085077	496.664354773555	0.0002709321438403042	0.00011060758455451363	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	12.0	hr		0.0004550309993378	417.323115523119	0.00025834184771026666	0.000105467617682992	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	18.0	hr		0.0003307183611281504	294.639750835719	0.00017293933260812138	7.060218689122694e-05	time adjusted				mole/meter^3	ng/ml
Kasichayanula2013		moderate	6.0	DAP20_d10	concentration	dapagliflozin 3-o-glucuronide	plasma	HPLC MS/MS	dapagliflozin 3-o-glucuronide_DAP20_d10_moderate	24.0	hr		0.00032832858942289403	274.028211110716	0.00014009570307405638	5.719383128131649e-05	time adjusted				mole/meter^3	ng/ml
