study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	4.0	hr	NA	0.0	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	8.0	hr	NA	0.0	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	12.0	hr	NA	0.0	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	16.0	hr	NA	0.0	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	20.0	hr	NA	0.0	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	24.0	hr	NA	0.0	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	4.0	hr	NA	4.6242774566474	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	8.0	hr	NA	8.67052023121388	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	12.0	hr	NA	13.2947976878612	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	16.0	hr	NA	16.1849710982659	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	20.0	hr	NA	17.6878612716763	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	24.0	hr	NA	17.9190751445086	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	4.0	hr	NA	5.31791907514451	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	8.0	hr	NA	10.9826589595375	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	12.0	hr	NA	19.8843930635838	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	16.0	hr	NA	27.0520231213872	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	20.0	hr	NA	33.757225433526	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	24.0	hr	NA	40.2312138728323	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	4.0	hr	NA	6.01156069364162	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	8.0	hr	NA	17.3410404624277	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	12.0	hr	NA	26.3583815028901	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	16.0	hr	NA	36.300578034682	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	20.0	hr	NA	48.0924855491329	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	24.0	hr	NA	58.0346820809248	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	4.0	hr	NA	7.86127167630058	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	8.0	hr	NA	17.1098265895953	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	12.0	hr	NA	30.2890173410404	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	16.0	hr	NA	43.8150289017341	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	20.0	hr	NA	54.3352601156069	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD50	6.0	DAP50M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD50	24.0	hr	NA	62.1965317919075	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	4.0	hr	NA	6.47398843930636	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	8.0	hr	NA	14.1040462427745	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	12.0	hr	NA	26.5895953757225	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	16.0	hr	NA	34.2196531791907	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	20.0	hr	NA	47.6300578034682	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD100	6.0	DAP100M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	24.0	hr	NA	58.4971098265896	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	316.0	hr	NA	0.0	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	320.0	hr	NA	0.0	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	324.0	hr	NA	0.0	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	328.0	hr	NA	0.0	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	332.0	hr	NA	0.0	NA	NA	NA	g	NA	20.0
FDAMB102002	NA	MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	336.0	hr	NA	0.0	NA	NA	NA	g	NA	24.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	316.0	hr	NA	3.57541899441341	NA	NA	NA	g	NA	4.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	320.0	hr	NA	7.37430167597764	NA	NA	NA	g	NA	8.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	324.0	hr	NA	10.949720670391	NA	NA	NA	g	NA	12.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	328.0	hr	NA	13.6312849162011	NA	NA	NA	g	NA	16.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	332.0	hr	NA	17.877094972067	NA	NA	NA	g	NA	20.0
