study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
FDAMB102002	DAP0	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	0.0	mg	NA
FDAMB102002	DAP2.5	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	2.5	mg	NA
FDAMB102002	DAP10	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	10.0	mg	NA
FDAMB102002	DAP20	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	20.0	mg	NA
FDAMB102002	DAP50	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	50.0	mg	NA
FDAMB102002	DAP100	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	100.0	mg	NA
FDAMB102002	DAP0M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	0.0	mg	NA
FDAMB102002	DAP2.5M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	2.5	mg	NA
FDAMB102002	DAP10M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	10.0	mg	NA
FDAMB102002	DAP20M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	20.0	mg	NA
FDAMB102002	DAP50M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	50.0	mg	NA
FDAMB102002	DAP100M7	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	100.0	mg	NA
FDAMB102002	DAP0M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	0.0	mg	NA
FDAMB102002	DAP2.5M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	2.5	mg	NA
FDAMB102002	DAP10M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	10.0	mg	NA
FDAMB102002	DAP20M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	20.0	mg	NA
FDAMB102002	DAP50M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	50.0	mg	NA
FDAMB102002	DAP100M14	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	dapagliflozin	100.0	mg	NA
