study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	0.200760089280326	hr	NA	1.25119096885668	NA	NA	NA	ng/ml	NA	0.200760089280326
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	0.5	hr	NA	17.8077181178737	NA	NA	NA	ng/ml	NA	0.5
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	1.0	hr	NA	25.2034418939403	33.7272192058864	8.523777311946098	3.4798175158966567	ng/ml	NA	1.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	1.5	hr	NA	19.6971727104123	22.5319123698971	2.8347396594848	1.157277619894783	ng/ml	NA	1.5
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	2.0	hr	NA	13.7621450653206	16.8374908321805	3.0753457668598987	1.2555046519058315	ng/ml	NA	2.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	4.0	hr	NA	6.79386305254824	8.21943280034551	1.4255697477972697	0.5819864124752357	ng/ml	NA	4.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	6.0	hr	NA	5.36941543998064	6.28135773491353	0.9119422949328895	0.37229888290804414	ng/ml	NA	6.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	7.99794896543403	hr	NA	3.83655656634566	4.80026492731949	0.96370836097383	0.3934322908732975	ng/ml	NA	7.99794896543403
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	10.0	hr	NA	2.80342256359649	3.35387942487908	0.5504568612825902	0.22472307259272126	ng/ml	NA	10.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	12.0	hr	NA	2.26584993482508	2.50626370019467	0.24041376536959014	0.09814850871611545	ng/ml	NA	12.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	14.0	hr	NA	2.02567301679104	2.29138108428068	0.26570806748964015	0.10847486431510234	ng/ml	NA	14.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	18.0	hr	NA	1.33819893916931	1.60095661166299	0.26275767249368	0.10727037060180847	ng/ml	NA	18.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	22.0	hr	NA	1.33819893916931	1.46369342397358	0.12549448480426983	0.0512329088839864	ng/ml	NA	22.0
FDAMB102002	NA	MAD2.5	6.0	DAP2.5M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	24.0	hr	NA	1.16984014463522	1.27954616961942	0.1097060249841999	0.04478729715338546	ng/ml	NA	24.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	0.0	hr	NA	1.05762303275253	NA	NA	NA	ng/ml	NA	0.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	0.2	hr	NA	2.42341741154871	NA	NA	NA	ng/ml	NA	0.2
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	0.5	hr	NA	65.3258633582956	NA	NA	NA	ng/ml	NA	0.5
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	1.0	hr	NA	98.8857746260216	148.018603232786	49.132828606764406	20.058393284365554	ng/ml	NA	1.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	1.5	hr	NA	84.529305204222	108.159148694653	23.629843490431	9.6468432088971	ng/ml	NA	1.5
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	2.0	hr	NA	66.0619422817418	NA	NA	NA	ng/ml	NA	2.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	4.0	hr	NA	32.6123425321591	38.5811079996079	5.968765467448804	2.436738298265715	ng/ml	NA	4.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	6.0	hr	NA	21.787104345188	26.3587356257086	4.571631280520602	1.866360654903657	ng/ml	NA	6.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	7.99794896543403	hr	NA	15.7427388789508	18.4164879271063	2.6737490481555	1.0915534780388638	ng/ml	NA	7.99794896543403
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	10.0	hr	NA	11.5034272590162	13.7621450653206	2.2587178063044	0.9221176830640583	ng/ml	NA	10.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	12.0	hr	NA	8.69306144580704	10.0561811959302	1.3631197501231611	0.5564913076853087	ng/ml	NA	12.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	14.0	hr	NA	7.68501587312611	9.19398201021854	1.5089661370924308	0.6160328458358441	ng/ml	NA	14.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	18.0	hr	NA	5.19192568047679	6.14216060091012	0.9502349204333305	0.3879317818059721	ng/ml	NA	18.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	22.0	hr	NA	4.01241944139762	NA	NA	NA	ng/ml	NA	22.0
FDAMB102002	NA	MAD10	6.0	DAP10M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	24.0	hr	NA	3.83655656634566	NA	NA	NA	ng/ml	NA	24.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	0.2	hr	NA	1.09377864615717	NA	NA	NA	ng/ml	NA	0.2
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	0.5	hr	NA	98.8857746260216	154.803587808287	55.917813182265405	22.828351638137516	ng/ml	NA	0.5
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	1.0	hr	NA	234.330966455814	289.925960503785	55.594994047971	22.696561278432803	ng/ml	NA	1.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	1.5	hr	NA	153.078726953099	189.396636798929	36.31790984583	14.826724607780799	ng/ml	NA	1.5
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	2.0	hr	NA	104.583872856056	120.983198171216	16.39932531516	6.6949965246748215	ng/ml	NA	2.0
FDAMB102002	NA	MAD20	6.0	DAP20M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	4.0	hr	NA	48.8162570199363	55.2194984154268	6.403241395490497	2.614112353136436	ng/ml	NA	4.0
