study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	4.0	hr		0.0					4.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	8.0	hr		0.0					8.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	12.0	hr		0.0					12.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	16.0	hr		0.0					16.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	20.0	hr		0.0					20.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	24.0	hr		0.0					24.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	316.0	hr		0.0					4.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	320.0	hr		0.0					8.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	324.0	hr		0.0					12.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	328.0	hr		0.0					16.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	332.0	hr		0.0					20.0	g	g
FDAMB102002		MAD0	6.0	DAP0M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	336.0	hr		0.0					24.0	g	g
