study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	4.0	hr		4.6242774566474					4.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	8.0	hr		8.67052023121388					8.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	12.0	hr		13.2947976878612					12.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	16.0	hr		16.1849710982659					16.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	20.0	hr		17.6878612716763					20.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	24.0	hr		17.9190751445086					24.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	316.0	hr		3.57541899441341					4.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	320.0	hr		7.37430167597764					8.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	324.0	hr		10.949720670391					12.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	328.0	hr		13.6312849162011					16.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	332.0	hr		17.877094972067					20.0	g	g
FDAMB102002		MAD2.5	6.0	DAP2.5M14	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	336.0	hr		20.4469273743016					24.0	g	g
