study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	0.2	hr		6.742188051853534e-05					0.2	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	0.5	hr		0.0008675408082282104	679.386305254824	0.0007940663540320125	0.0003241762315484418		0.5	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	1.0	hr		0.0013132232844870243	621.136925320076	0.00020592061917028753	8.406674074753008e-05		1.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	1.5	hr		0.0010614050597311244	519.192568047679	0.0002084087163012353	8.508250214774755e-05		1.5	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	2.0	hr		0.0008020965574325868	405.763059102512	0.00019029731328646786	7.768855282906668e-05		2.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	4.0	hr		0.00038287655104360776	202.567301679104	0.00011255186237352674	4.594910540251629e-05		4.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	6.0	hr		0.0002829253799856435	165.568647905085	0.00012201367909892557	4.981187590534274e-05		6.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	7.99794896543403	hr		0.00017871397962452892	92.4563490068807	4.741087823324283e-05	1.9355409988111762e-05		7.99794896543403	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	10.0	hr		0.00012486501230165822	73.894674200986	5.5862681141014714e-05	2.2805844076547135e-05		10.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	12.0	hr		9.868496314691287e-05	56.4709140686407	3.9428617521511576e-05	1.6096665698510618e-05		12.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	14.0	hr		7.541585552672933e-05	40.3496169367677	2.3269107620183537e-05	9.499573406559578e-06		14.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	18.0	hr		5.095025481906754e-05	29.4839981105125	2.116015137188296e-05	8.638595623527783e-06		18.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	22.0	hr		3.850275972967352e-05	21.0669164674315	1.302159249566663e-05	5.316042875472969e-06		22.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	24.0	hr		3.5598245912947544e-05	19.2606763182358	1.1508499502464575e-05	4.698325247685382e-06		24.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	144.0	hr		5.067675477322617e-05	29.4321623818723	2.1306874328896747e-05	8.698495019900466e-06		0.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	144.2	hr		0.0001033421798297584					0.2	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	144.5	hr		0.0008763631032083289					0.5	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	145.0	hr		0.0017126836671049425					1.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	145.5	hr		0.0010500404380561518	508.976181970047	0.0001947866402054281	7.95213128690656e-05		1.5	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	146.0	hr		0.0008763631032083289	447.991947579114	0.00021931195378764316	8.953373021209505e-05		2.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	148.0	hr		0.0004532209226555777	226.807911027417	0.00010149389350351579	4.1434708515331694e-05		4.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	150.0	hr		0.00026629503448251905	142.044670035094	8.111032130055786e-05	3.31131500099274e-05		6.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	151.99794896543403	hr		0.00023942731315734325	122.393911761361	5.9917255355033474e-05	2.4461117067979156e-05		7.99794896543403	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	154.0	hr		0.0001483615964515346	87.0870963575626	6.4631426706176e-05	2.6385669463036817e-05		10.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	156.0	hr		0.00012382249706868514	66.0482677539274	3.771486967826907e-05	1.5397031071220732e-05		12.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	158.0	hr		9.592792590216473e-05	53.3927978439292	3.465736059004485e-05	1.414880821287547e-05		14.0	mole/meter^3	ng/ml
FDAMB102002		MAD50	6.0	DAP50M14	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD50	162.0	hr		7.431740746422459e-05	43.1622351130196	3.124650874696959e-05	1.2756333778914482e-05		18.0	mole/meter^3	ng/ml
