study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Komoroski2009	SAD_DAP2.5	6.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	32.0	NA	NA	NA	NA	24.0	ng/ml	NA
Komoroski2009	SAD_DAP2.5	5.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	81.0	NA	NA	NA	NA	46.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP2.5	6.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.5	0.5	1.5	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP2.5	5.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	1.67	NA	NA	0.96	NA	NA	hr	NA
Komoroski2009	SAD_DAP2.5	4.0	DAP2.5	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.54	NA	NA	0.89	NA	NA	percent	NA
Komoroski2009	SAD_DAP2.5	3.0	DAP2.5	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.99	NA	NA	3.41	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	67.0	NA	NA	NA	NA	21.0	ng/ml	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	185.0	NA	NA	NA	NA	20.0	ng/ml*hr	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.5	0.5	1.0	NA	NA	NA	hr	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	2.52	NA	NA	0.74	NA	NA	hr	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	0.46	NA	NA	0.19	NA	NA	percent	NA
Komoroski2009	SAD_DAP5	6.0	DAP5	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	2.08	NA	NA	0.9	NA	NA	ml/min	NA
Komoroski2009	SAD_DAP10	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	116.0	NA	NA	NA	NA	17.0	ng/ml	NA
