study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	mean_pm	sd	se	cv	unit	comments
Gould2013	DAP0	22	DAP0	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0	24	hr	0.0	NA	NA	NA	NA	NA	NA	g	NA
Gould2013	DAP0.001	5	DAP0.001	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.001	24	hr	0.0	NA	NA	NA	NA	NA	NA	g	NA
Gould2013	DAP0.01	5	DAP0.01	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.01	24	hr	0.0	NA	NA	NA	NA	NA	NA	g	NA
Gould2013	DAP0.1	5	DAP0.1	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.1	24	hr	0.0977995110024494	NA	NA	NA	NA	NA	NA	g	NA
Gould2013	DAP0.3	6	DAP0.3	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.3	24	hr	0.586797066014682	NA	NA	NA	NA	NA	NA	g	NA
Gould2013	DAP1	6	DAP1	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP1	24	hr	19.0709046454767	NA	NA	23.4718826405868	10.780150457236665	4.4009779951101	NA	g	richtig gerechnet?
Gould2013	DAP2.5	6	DAP2.5	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP2.5	24	hr	22.5916870415647	NA	NA	24.3520782396088	4.312060182894814	1.7603911980441005	NA	g	NA
Gould2013	DAP5	6	DAP5	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP5	24	hr	31.9804400977995	NA	NA	33.8386308068459	4.551619081944151	1.8581907090463972	NA	g	NA
Gould2013	DAP10	6	DAP10	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP10	24	hr	44.3031784841075	NA	NA	46.161369193154	4.551619081944412	1.8581907090465037	NA	g	NA
Gould2013	DAP20	6	DAP20	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP20	24	hr	61.4180929095354	NA	NA	64.6454767726161	7.905443668640132	3.2273838630807035	NA	g	NA
Gould2013	DAP50	6	DAP50	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP50	24	hr	55.9413202933985	NA	NA	59.3643031784841	8.384561466739552	3.4229828850856023	NA	g	NA
Gould2013	DAP100	6	DAP100	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP100	24	hr	64.4498777506112	NA	NA	69.3398533007335	11.977944952485105	4.889975550122301	NA	g	NA
Gould2013	DAP250	6	DAP250	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP250	24	hr	63.5696821515892	NA	NA	68.5574572127139	12.217503851534692	4.987775061124701	NA	g	NA
Gould2013	DAP500	6	DAP500	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP500	24	hr	68.7530562347188	NA	NA	75.8924205378973	17.487799630628096	7.139364303178496	NA	g	NA
