study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Gould2013	DAP0.1	5.0	DAP0.1	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.2	NA	NA	NA	NA	25.0	ng/ml	NA
Gould2013	DAP0.1	5.0	DAP0.1	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.5	0.5	1.0	NA	NA	NA	hr	NA
Gould2013	DAP0.1	5.0	DAP0.1	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	3.2	NA	NA	NA	NA	20.0	ng/ml*hr	NA
Gould2013	DAP0.1	5.0	DAP0.1	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	3.9	NA	NA	NA	NA	18.0	ng/ml*hr	NA
Gould2013	DAP0.1	5.0	DAP0.1	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	3.5	NA	NA	0.34	NA	NA	hr	NA
Gould2013	DAP0.3	5.0	DAP0.3	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	3.1	NA	NA	NA	NA	19.0	ng/ml	NA
Gould2013	DAP0.3	5.0	DAP0.3	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.3	0.5	1.0	NA	NA	NA	hr	NA
Gould2013	DAP0.3	5.0	DAP0.3	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	11.17	NA	NA	NA	NA	23.0	ng/ml*hr	NA
Gould2013	DAP0.3	5.0	DAP0.3	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	12.5	NA	NA	NA	NA	25.0	ng/ml*hr	NA
Gould2013	DAP0.3	5.0	DAP0.3	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	7.3	NA	NA	2.36	NA	NA	hr	NA
Gould2013	DAP1	6.0	DAP1	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	13.2	NA	NA	NA	NA	38.0	ng/ml	NA
Gould2013	DAP1	6.0	DAP1	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	1.0	NA	NA	NA	hr	NA
Gould2013	DAP1	6.0	DAP1	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	49.24	NA	NA	NA	NA	14.0	ng/ml*hr	NA
Gould2013	DAP1	6.0	DAP1	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	54.0	NA	NA	NA	NA	39.0	ng/ml*hr	NA
Gould2013	DAP1	6.0	DAP1	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	8.2	NA	NA	1.14	NA	NA	hr	NA
Gould2013	DAP2.5	6.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	42.5	NA	NA	NA	NA	24.0	ng/ml	NA
Gould2013	DAP2.5	6.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.58	0.5	1.0	NA	NA	NA	hr	NA
Gould2013	DAP2.5	6.0	DAP2.5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	131.07	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Gould2013	DAP2.5	6.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	142.9	NA	NA	NA	NA	23.0	ng/ml*hr	NA
Gould2013	DAP2.5	6.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	8.3	NA	NA	1.64	NA	NA	hr	NA
