study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Gould2013	DAP0	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	0.0	mg	Placebo
Gould2013	DAP0.001	0	NA	hr	oral	single dose	dosing	solution	dapagliflozin	0.001	mg	NA
Gould2013	DAP0.01	0	NA	hr	oral	single dose	dosing	solution	dapagliflozin	0.01	mg	NA
Gould2013	DAP0.1	0	NA	hr	oral	single dose	dosing	solution	dapagliflozin	0.1	mg	NA
Gould2013	DAP0.3	0	NA	hr	oral	single dose	dosing	solution	dapagliflozin	0.3	mg	NA
Gould2013	DAP1	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	1.0	mg	NA
Gould2013	DAP2.5	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	2.5	mg	NA
Gould2013	DAP5	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	5.0	mg	NA
Gould2013	DAP10	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	10.0	mg	NA
Gould2013	DAP20	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	20.0	mg	NA
Gould2013	DAP50	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	50.0	mg	NA
Gould2013	DAP100	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	100.0	mg	NA
Gould2013	DAP250	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	250.0	mg	NA
Gould2013	DAP500	0	NA	hr	oral	single dose	dosing	tablet	dapagliflozin	500.0	mg	NA
