study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2012	S2	14.0	WAR25	cmax	r-warfarin	plasma	LC MS/MS	NA	hr	1438.0	NA	NA	NA	NA	NA	ng/ml	geometric mean, r-warfarin
Kasichayanula2012	S2	14.0	WAR25	auc_inf	r-warfarin	plasma	LC MS/MS	NA	hr	68.006	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, r-warfarin
Kasichayanula2012	S2	14.0	WAR25	tmax	r-warfarin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median, r-warfarin
Kasichayanula2012	S2	14.0	WAR25	thalf	r-warfarin	plasma	LC MS/MS	NA	hr	50.8	NA	NA	11.8	NA	NA	hr	r-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	cmax	r-warfarin	plasma	LC MS/MS	NA	hr	1520.0	NA	NA	NA	NA	NA	ng/ml	geometric mean, r-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	auc_inf	r-warfarin	plasma	LC MS/MS	NA	hr	73.195	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, r-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	tmax	r-warfarin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median, r-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	thalf	r-warfarin	plasma	LC MS/MS	NA	hr	50.3	NA	NA	6.1	NA	NA	hr	r-warfarin
Kasichayanula2012	S2	14.0	WAR25	cmax	s-warfarin	plasma	LC MS/MS	NA	hr	1530.0	NA	NA	NA	NA	NA	ng/ml	geometric mean, s-warfarin
Kasichayanula2012	S2	14.0	WAR25	auc_inf	s-warfarin	plasma	LC MS/MS	NA	hr	50.326	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, s-warfarin
Kasichayanula2012	S2	14.0	WAR25	tmax	s-warfarin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median, s-warfarin
Kasichayanula2012	S2	14.0	WAR25	thalf	s-warfarin	plasma	LC MS/MS	NA	hr	49.3	NA	NA	11.8	NA	NA	hr	s-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	cmax	s-warfarin	plasma	LC MS/MS	NA	hr	1575.0	NA	NA	NA	NA	NA	ng/ml	geometric mean, s-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	auc_inf	s-warfarin	plasma	LC MS/MS	NA	hr	54.001	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean, s-warfarin
Kasichayanula2012	S2	14.0	DAP20, WAR25	tmax	s-warfarin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median, s-warfarin
Kasichayanula2012	S2	13.0	DAP20, WAR25	thalf	s-warfarin	plasma	LC MS/MS	NA	hr	44.9	NA	NA	6.3	NA	NA	hr	s-warfarin
Kasichayanula2012	S2	16.0	DIG025	cmax	digoxin	plasma	LC MS/MS	NA	hr	0.846	NA	NA	NA	NA	NA	ng/ml	geometric mean
Kasichayanula2012	S2	16.0	DIG025	auc_inf	digoxin	plasma	LC MS/MS	NA	hr	9.479	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean
Kasichayanula2012	S2	16.0	DIG025	tmax	digoxin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2012	S2	16.0	DAP20, DIG025	cmax	digoxin	plasma	LC MS/MS	NA	hr	0.838	NA	NA	NA	NA	NA	ng/ml	geometric mean
Kasichayanula2012	S2	16.0	DAP20, DIG025	auc_inf	digoxin	plasma	LC MS/MS	NA	hr	9.496	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean
Kasichayanula2012	S2	16.0	DAP20, DIG025	tmax	digoxin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.02	NA	NA	NA	hr	median
