study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2012	S1	23.0	DAP20	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	251.0	NA	NA	NA	NA	NA	ng/ml	geometric mean
Kasichayanula2012	S1	23.0	DAP20	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	928.0	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean
Kasichayanula2012	S1	23.0	DAP20	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.55	0.5	2.03	NA	NA	NA	hr	median
Kasichayanula2012	S1	23.0	DAP20	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	16.1	NA	NA	7.6	NA	NA	hr	NA
Kasichayanula2012	S1	24.0	DAP20, SIM40	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	245.0	NA	NA	NA	NA	NA	ng/ml	geometric mean
Kasichayanula2012	S1	24.0	DAP20, SIM40	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	906.0	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean
Kasichayanula2012	S1	24.0	DAP20, SIM40	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	1.0	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2012	S1	24.0	DAP20, SIM40	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	18.6	NA	NA	9.1	NA	NA	hr	NA
Kasichayanula2012	S1	24.0	DAP20, VAL320	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	221.0	NA	NA	NA	NA	NA	ng/ml	geometric mean
Kasichayanula2012	S1	24.0	DAP20, VAL320	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	947.0	NA	NA	NA	NA	NA	ng/ml*hr	geometric mean
Kasichayanula2012	S1	24.0	DAP20, VAL320	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.99	0.48	2.0	NA	NA	NA	hr	median
Kasichayanula2012	S1	24.0	DAP20, VAL320	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	15.9	NA	NA	7.0	NA	NA	hr	NA
