study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Watada2019	DAP5	10.0	DAP5	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	71.9	NA	NA	19.0	NA	NA	ng/ml	NA
Watada2019	DAP5	10.0	DAP5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	346.1	NA	NA	154.7	NA	NA	ng/ml*hr	NA
Watada2019	DAP5	10.0	DAP5	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.0	1.0	3.0	NA	NA	NA	hr	NA
Watada2019	DAP5	10.0	DAP5	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	64.5	NA	NA	20.6	NA	NA	ng/ml	NA
Watada2019	DAP5	10.0	DAP5	auc_end	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	24.0	hr	358.8	NA	NA	105.2	NA	NA	ng/ml*hr	NA
Watada2019	DAP5	10.0	DAP5	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	2.0	1.0	4.0	NA	NA	NA	hr	NA
Watada2019	DAP10	10.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	167.5	NA	NA	43.6	NA	NA	ng/ml	NA
Watada2019	DAP10	10.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	702.9	NA	NA	259.5	NA	NA	ng/ml*hr	NA
Watada2019	DAP10	10.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.0	1.0	3.0	NA	NA	NA	hr	NA
Watada2019	DAP10	10.0	DAP10	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	142.9	NA	NA	45.7	NA	NA	ng/ml	NA
Watada2019	DAP10	10.0	DAP10	auc_end	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	24.0	hr	692.4	NA	NA	163.9	NA	NA	ng/ml*hr	NA
Watada2019	DAP10	10.0	DAP10	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	2.0	1.0	3.0	NA	NA	NA	hr	NA
