study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	unit	comments
Khomitskaya2018	all	40.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	96.0	NA	NA	NA	25.1	NA	ng/ml	NA
Khomitskaya2018	all	40.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	72.0	hr	511.3	NA	NA	NA	127.7	NA	ng/ml*hr	NA
Khomitskaya2018	all	40.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	532.6	NA	NA	NA	144.8	NA	ng/ml*hr	NA
Khomitskaya2018	all	40.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	2.0	2.0	4.0	NA	NA	hr	NA
Khomitskaya2018	all	40.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	14.79	6.77	49.87	NA	NA	hr	NA
Khomitskaya2018	combo	40.0	DAP10, MET	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	90.9	NA	NA	NA	25.3	NA	ng/ml	NA
Khomitskaya2018	combo	40.0	DAP10, MET	auc_end	dapagliflozin	plasma	LC MS/MS	72.0	hr	506.0	NA	NA	NA	130.4	NA	ng/ml*hr	NA
Khomitskaya2018	combo	40.0	DAP10, MET	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	521.3	NA	NA	NA	136.0	NA	ng/ml*hr	NA
Khomitskaya2018	combo	40.0	DAP10, MET	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	3.0	1.0	4.0	NA	NA	hr	NA
Khomitskaya2018	combo	40.0	DAP10, MET	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	13.88	6.8	30.37	NA	NA	hr	NA
