study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Shah2019a	fasted	24.0	DAP5, MET500	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	74.56	NA	NA	13.4	NA	NA	ng/ml	NA
Shah2019a	fasted	24.0	DAP5, MET500	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	1.3	NA	NA	0.3	NA	NA	hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	9.5	NA	NA	2.7	NA	NA	hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	auc_end	dapagliflozin	plasma	LC MS/MS	96.0	hr	263.0	NA	NA	43.5	NA	NA	ng/ml*hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	291.0	NA	NA	29.6	NA	NA	ng/ml*hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	kel	dapagliflozin	plasma	LC MS/MS	NA	hr	0.0073	NA	NA	0.002	NA	NA	1/hr	NA
Shah2019a	fed	24.0	DAP5, MET500	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	47.12	NA	NA	10.4	NA	NA	ng/ml	NA
Shah2019a	fed	24.0	DAP5, MET500	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.3	NA	NA	0.6	NA	NA	hr	NA
Shah2019a	fed	24.0	DAP5, MET500	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	9.7	NA	NA	2.6	NA	NA	hr	NA
Shah2019a	fed	24.0	DAP5, MET500	auc_end	dapagliflozin	plasma	LC MS/MS	96.0	hr	245.0	NA	NA	37.8	NA	NA	ng/ml*hr	NA
Shah2019a	fed	24.0	DAP5, MET500	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	269.0	NA	NA	28.4	NA	NA	ng/ml*hr	NA
Shah2019a	fed	24.0	DAP5, MET500	kel	dapagliflozin	plasma	LC MS/MS	NA	hr	0.071	NA	NA	0.002	NA	NA	1/hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	cmax	metformin	plasma	LC MS/MS	NA	hr	617.0	NA	NA	70.2	NA	NA	ng/ml	NA
Shah2019a	fasted	24.0	DAP5, MET500	tmax	metformin	plasma	LC MS/MS	NA	hr	4.2	NA	NA	0.7	NA	NA	hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	thalf	metformin	plasma	LC MS/MS	NA	hr	12.3	NA	NA	3.4	NA	NA	hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	auc_end	metformin	plasma	LC MS/MS	96.0	hr	4923.0	NA	NA	536.0	NA	NA	ng/ml*hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	auc_inf	metformin	plasma	LC MS/MS	NA	hr	5084.0	NA	NA	573.0	NA	NA	ng/ml*hr	NA
Shah2019a	fasted	24.0	DAP5, MET500	kel	metformin	plasma	LC MS/MS	NA	hr	0.056	NA	NA	0.001	NA	NA	1/hr	NA
Shah2019a	fed	24.0	DAP5, MET500	cmax	metformin	plasma	LC MS/MS	NA	hr	645.0	NA	NA	73.5	NA	NA	ng/ml	NA
Shah2019a	fed	24.0	DAP5, MET500	tmax	metformin	plasma	LC MS/MS	NA	hr	4.2	NA	NA	0.8	NA	NA	hr	NA
Shah2019a	fed	24.0	DAP5, MET500	thalf	metformin	plasma	LC MS/MS	NA	hr	12.2	NA	NA	3.1	NA	NA	hr	NA
Shah2019a	fed	24.0	DAP5, MET500	auc_end	metformin	plasma	LC MS/MS	96.0	hr	5087.0	NA	NA	579.0	NA	NA	ng/ml*hr	NA
Shah2019a	fed	24.0	DAP5, MET500	auc_inf	metformin	plasma	LC MS/MS	NA	hr	5232.0	NA	NA	601.0	NA	NA	ng/ml*hr	NA
Shah2019a	fed	24.0	DAP5, MET500	kel	metformin	plasma	LC MS/MS	NA	hr	0.068	NA	NA	0.003	NA	NA	1/hr	NA
