study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kim2023a	all	30	NA	species	30	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023a	all	30	NA	healthy	30	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023a	all	30	NA	ethnicity	30	NA	korean	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023a	all	30	NA	sex	30	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023a	all	30	NA	age	30	NA	NA	24.2	NA	5.5	NA	19.0	45.0	yr	NA
Kim2023a	all	30	NA	bmi	30	NA	NA	23.1	NA	2.43	NA	18.5	29.9	kg/m^2	NA
Kim2023a	all	30	NA	weight	30	NA	NA	71.49	NA	8.09	NA	50.0	NA	kg	NA
Kim2023a	all	30	NA	height	30	NA	NA	175.91	NA	4.79	NA	NA	NA	cm	NA
Kim2023a	all	30	NA	concentration	30	glucose	NA	NA	NA	NA	NA	70.0	110.0	mg/dl	NA
Kim2023a	all	30	NA	gfr	30	NA	NA	NA	NA	NA	NA	80.0	NA	ml/min/(1.73*m^2)	estimated GFR via MDRD equation
Kim2023a	all	30	NA	blood pressure systolic	30	NA	NA	NA	NA	NA	NA	100.0	150.0	mmHg	NA
Kim2023a	all	30	NA	blood pressure diastolic	30	NA	NA	NA	NA	NA	NA	60.0	100.0	mmHg	NA
