study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	urine	LC MS/MS	recovery_total dapagliflozin_urine	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	urine	LC MS/MS	recovery_total dapagliflozin_urine	13.0	day	75.16	NA	NA	9.19	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	feces	LC MS/MS	recovery_total dapagliflozin_feces	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	feces	LC MS/MS	recovery_total dapagliflozin_feces	13.0	day	20.99	NA	NA	8.81	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	feces_urine	LC MS/MS	recovery_total dapagliflozin_feces_urine	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	total dapagliflozin	feces_urine	LC MS/MS	recovery_total dapagliflozin_feces_urine	13.0	day	96.16	NA	NA	1.69	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin	urine	LC MS/MS	recovery_dapagliflozin_urine	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin	urine	LC MS/MS	recovery_dapagliflozin_urine	13.0	day	1.2	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	recovery_dapagliflozin 3-o-glucuronide_urine	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	recovery_dapagliflozin 3-o-glucuronide_urine	13.0	day	61.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin	feces	LC MS/MS	recovery_dapagliflozin_feces	0.0	day	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	recovery	dapagliflozin	feces	LC MS/MS	recovery_dapagliflozin_feces	13.0	day	15.4	NA	NA	NA	NA	NA	percent	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	urine	LC MS/MS	total dapagliflozin_urine	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	urine	LC MS/MS	total dapagliflozin_urine	13.0	day	91.9111802442323	NA	NA	11.2382084412519	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	feces	LC MS/MS	total dapagliflozin_feces	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	feces	LC MS/MS	total dapagliflozin_feces	13.0	day	25.6681169947637	NA	NA	10.7735164708846	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	feces_urine	LC MS/MS	total dapagliflozin_feces_urine	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	total dapagliflozin	feces_urine	LC MS/MS	total dapagliflozin_feces_urine	13.0	day	117.591525975058	NA	NA	2.06665639452837	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine	13.0	day	1.46744832747577	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_urine	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_urine	13.0	day	74.5952899800182	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin	feces	LC MS/MS	dapagliflozin_feces	0.0	day	0.0	NA	NA	NA	NA	NA	µmole	NA
FDAMB102006	all	6.0	DAP50	cumulative amount	dapagliflozin	feces	LC MS/MS	dapagliflozin_feces	13.0	day	18.832253535939	NA	NA	NA	NA	NA	µmole	NA
