study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2011b	all	14.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	72.0	hr	470.0	NA	NA	NA	NA	20.0	ng/ml*hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	497.0	NA	NA	NA	NA	19.0	ng/ml*hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	136.0	NA	NA	NA	NA	22.0	ng/ml	fasted state 
Kasichayanula2011b	all	14.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.98	0.48	1.5	NA	NA	NA	hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	12.0	NA	NA	4.62	NA	NA	hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	72.0	hr	478.0	NA	NA	NA	NA	16.0	ng/ml*hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	507.0	NA	NA	NA	NA	16.0	ng/ml*hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	94.0	NA	NA	NA	NA	33.0	ng/ml	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	1.98	0.98	3.98	NA	NA	NA	hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	14.0	NA	NA	4.38	NA	NA	hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	auc_end	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	72.0	hr	906.0	NA	NA	NA	NA	28.0	ng/ml*hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	941.0	NA	NA	NA	NA	28.0	ng/ml*hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	224.0	NA	NA	NA	NA	26.0	ng/ml	fasted state 
Kasichayanula2011b	all	14.0	DAP10	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	1.48	0.98	2.0	NA	NA	NA	hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	13.0	NA	NA	4.88	NA	NA	hr	fasted state 
Kasichayanula2011b	all	14.0	DAP10	auc_end	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	72.0	hr	780.0	NA	NA	NA	NA	28.0	ng/ml*hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	812.0	NA	NA	NA	NA	27.0	ng/ml*hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	128.0	NA	NA	NA	NA	36.0	ng/ml	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	2.5	1.5	5.0	NA	NA	NA	hr	high-fat meal
Kasichayanula2011b	all	14.0	DAP10	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	hr	12.6	NA	NA	3.36	NA	NA	hr	high-fat meal
