study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	0.206456456456455	hr	NA	10.2633779604053	17.9153710115604	7.6519930511551	2.55066435038503	ng/ml	NA	0.206456456456455
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	0.5	hr	NA	40.4065352899445	57.0757481451708	16.6692128552263	5.55640428507543	ng/ml	NA	0.5
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	1.0	hr	NA	38.2171295493026	48.2915302842497	10.0744007349471	3.3581335783157	ng/ml	NA	1.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	1.5	hr	NA	24.3383046265726	31.9770730959404	7.6387684693678	2.54625615645593	ng/ml	NA	1.5
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	2.0	hr	NA	18.3190617174141	24.2030984707907	5.8840367533766	1.96134558445887	ng/ml	NA	2.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	4.0	hr	NA	8.49243551904769	10.8513524862237	2.35891696717601	0.786305655725336	ng/ml	NA	4.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	6.0	hr	NA	5.34842372293791	6.87221557093959	1.52379184800168	0.50793061600056	ng/ml	NA	6.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	8.0	hr	NA	4.32803059926892	5.81455026257069	1.48651966330177	0.495506554433923	ng/ml	NA	8.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	10.0	hr	NA	3.15055522614314	4.16250567590592	1.01195044976278	0.337316816587593	ng/ml	NA	10.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	12.0	hr	NA	2.56372222160179	3.44426671088948	0.88054448928769	0.293514829762563	ng/ml	NA	12.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	18.0	hr	NA	1.54422179381427	1.74556282353386	0.20134102971959	0.0671136765731967	ng/ml	NA	18.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD2.5	24.0	hr	NA	1.55284830469957	1.99526231496887	0.4424140102693	0.147471336756433	ng/ml	NA	24.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	0.225225225225223	hr	NA	34.3787690574995	63.8026488913352	29.4238798338357	9.8079599446119	ng/ml	NA	0.225225225225223
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	0.5	hr	NA	179.820296604798	271.563231355148	91.74293475035	30.5809782501167	ng/ml	NA	0.5
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	1.5	hr	NA	103.015654424144	148.792364446057	45.776710021913	15.2589033406377	ng/ml	NA	1.5
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	2.0	hr	NA	74.9894209332455	95.2866937434097	20.2972728101642	6.76575760338807	ng/ml	NA	2.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	4.0	hr	NA	38.2171295493026	49.3796931771434	11.1625636278408	3.7208545426136	ng/ml	NA	4.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	6.0	hr	NA	28.2886943462596	37.3749521364281	9.0862577901685	3.02875259672283	ng/ml	NA	6.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	8.0	hr	NA	25.7326119566971	34.5708197244994	8.8382077678023	2.9460692559341	ng/ml	NA	8.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	10.0	hr	NA	16.116029902018	21.1741727330727	5.0581428310547	1.68604761035157	ng/ml	NA	10.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	12.0	hr	NA	13.4097090425108	18.1160919420041	4.7063828994933	1.5687942998311	ng/ml	NA	12.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	18.0	hr	NA	7.76823903405252	10.731122716217	2.96288368216448	0.987627894054826	ng/ml	NA	18.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD10	24.0	hr	NA	5.87969554692242	8.12226994708009	2.24257440015767	0.747524800052557	ng/ml	NA	24.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	0.206456456456455	hr	NA	49.6555437462855	96.3542705083419	46.6987267620564	15.5662422540188	ng/ml	NA	0.206456456456455
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	0.5	hr	NA	225.960360042556	354.813389233575	128.853029191019	42.9510097303397	ng/ml	NA	0.5
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	1.0	hr	NA	268.554391223049	331.869806363922	63.315415140873	21.105138380291	ng/ml	NA	1.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	1.5	hr	NA	195.492019144778	237.57812561085	42.086106466072	14.0287021553573	ng/ml	NA	1.5
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	2.0	hr	NA	147.143789139079	175.857660112657	28.713870973578	9.571290324526	ng/ml	NA	2.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	4.0	hr	NA	79.2854596628642	107.710505603676	28.4250459408118	9.47501531360393	ng/ml	NA	4.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	6.0	hr	NA	46.1866144578338	59.0157243470567	12.8291098892229	4.2763699630743	ng/ml	NA	6.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	8.0	hr	NA	38.2171295493026	47.2273468534645	9.01021730416191	3.00340576805397	ng/ml	NA	8.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	10.0	hr	NA	22.6380340952144	28.9261292607223	6.2880951655079	2.09603172183597	ng/ml	NA	10.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	12.0	hr	NA	21.4114047529742	27.3587829638044	5.9473782108302	1.98245940361007	ng/ml	NA	12.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_MAD20	18.0	hr	NA	12.1302839677841	15.3279427967264	3.1976588289423	1.0658862763141	ng/ml	NA	18.0
