study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	29.0	NA	NA	NA	NA	14.0	ng/ml	NA
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	103.0	NA	NA	NA	NA	30.0	ng/ml*hr	NA
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	8.1	NA	NA	4.8	NA	NA	hr	NA
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	recovery	dapagliflozin	urine	LC MS/MS	120.0	hr	1.0	NA	NA	0.5	NA	NA	percent	collected 120 hr urine
Kasichayanula2011a	SAD2.5	6.0	DAP2.5	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.9	NA	NA	0.9	NA	NA	ml/min	NA
Kasichayanula2011a	SAD10	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	124.0	NA	NA	NA	NA	34.0	ng/ml	NA
Kasichayanula2011a	SAD10	6.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.3	1.0	1.5	NA	NA	NA	hr	NA
Kasichayanula2011a	SAD10	6.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	489.0	NA	NA	NA	NA	19.0	ng/ml*hr	NA
Kasichayanula2011a	SAD10	6.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	12.1	NA	NA	7.8	NA	NA	hr	NA
Kasichayanula2011a	SAD10	6.0	DAP10	recovery	dapagliflozin	urine	LC MS/MS	120.0	hr	1.1	NA	NA	0.4	NA	NA	percent	collected 120 hr urine
Kasichayanula2011a	SAD10	6.0	DAP10	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.6	NA	NA	0.9	NA	NA	ml/min	NA
Kasichayanula2011a	SAD20	6.0	DAP20	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	265.0	NA	NA	NA	NA	26.0	ng/ml	NA
Kasichayanula2011a	SAD20	6.0	DAP20	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
Kasichayanula2011a	SAD20	6.0	DAP20	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	939.0	NA	NA	NA	NA	14.0	ng/ml*hr	NA
Kasichayanula2011a	SAD20	6.0	DAP20	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	12.2	NA	NA	4.7	NA	NA	hr	NA
Kasichayanula2011a	SAD20	6.0	DAP20	recovery	dapagliflozin	urine	LC MS/MS	120.0	hr	0.8	NA	NA	0.1	NA	NA	percent	collected 120 hr urine
Kasichayanula2011a	SAD20	6.0	DAP20	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	2.7	NA	NA	0.5	NA	NA	ml/min	NA
Kasichayanula2011a	SAD50	6.0	DAP50	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	610.0	NA	NA	NA	NA	22.0	ng/ml	NA
Kasichayanula2011a	SAD50	6.0	DAP50	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.3	1.0	1.5	NA	NA	NA	hr	NA
Kasichayanula2011a	SAD50	6.0	DAP50	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	2093.0	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Kasichayanula2011a	SAD50	6.0	DAP50	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	12.1	NA	NA	7.0	NA	NA	hr	NA
Kasichayanula2011a	SAD50	6.0	DAP50	recovery	dapagliflozin	urine	LC MS/MS	120.0	hr	0.9	NA	NA	0.2	NA	NA	percent	collected 120 hr urine
Kasichayanula2011a	SAD50	6.0	DAP50	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.6	NA	NA	1.2	NA	NA	ml/min	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	43.0	NA	NA	NA	NA	30.0	ng/ml	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	123.0	NA	NA	NA	NA	29.0	ng/ml*hr	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.5	0.5	1.0	NA	NA	NA	hr	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.8	NA	NA	1.06	NA	NA	ml/min	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.2	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2011a	MAD10	9.0	DAP10M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	188.0	NA	NA	NA	NA	27.0	ng/ml	NA
Kasichayanula2011a	MAD10	9.0	DAP10M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	602.0	NA	NA	NA	NA	23.0	ng/ml*hr	NA
Kasichayanula2011a	MAD10	9.0	DAP10M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	1.0	NA	NA	NA	hr	NA
Kasichayanula2011a	MAD10	9.0	DAP10M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.8	NA	NA	NA	NA	0.9	ml/min	NA
Kasichayanula2011a	MAD10	9.0	DAP10M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.4	NA	NA	0.3	NA	NA	percent	NA
Kasichayanula2011a	MAD20	9.0	DAP20M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	298.0	NA	NA	NA	NA	21.0	ng/ml	NA
Kasichayanula2011a	MAD20	9.0	DAP20M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	1027.0	NA	NA	NA	NA	15.0	ng/ml*hr	NA
Kasichayanula2011a	MAD20	9.0	DAP20M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
Kasichayanula2011a	MAD20	9.0	DAP20M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.4	NA	NA	NA	NA	0.6	ml/min	NA
Kasichayanula2011a	MAD20	9.0	DAP20M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.4	NA	NA	0.3	NA	NA	percent	NA
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	48.0	NA	NA	NA	NA	27.0	ng/ml	Day 14
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	157.0	NA	NA	NA	NA	27.0	ng/ml*hr	Day 14
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.5	0.5	1.0	NA	NA	NA	hr	Day 14
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.6	NA	NA	NA	NA	0.9	ml/min	Day 14
Kasichayanula2011a	MAD2.5	9.0	DAP2.5M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.7	NA	NA	0.5	NA	NA	percent	Day 14
Kasichayanula2011a	MAD10	9.0	DAP10M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	191.0	NA	NA	NA	NA	35.0	ng/ml	Day 14
Kasichayanula2011a	MAD10	9.0	DAP10M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	727.0	NA	NA	NA	NA	23.0	ng/ml*hr	Day 14
Kasichayanula2011a	MAD10	9.0	DAP10M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	1.5	NA	NA	NA	hr	Day 14
Kasichayanula2011a	MAD10	9.0	DAP10M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.3	NA	NA	1.0	NA	NA	ml/min	Day 14
Kasichayanula2011a	MAD10	9.0	DAP10M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.9	NA	NA	0.6	NA	NA	percent	Day 14
Kasichayanula2011a	MAD20	9.0	DAP20M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	305.0	NA	NA	NA	NA	31.0	ng/ml	Day 14
Kasichayanula2011a	MAD20	9.0	DAP20M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	1225.0	NA	NA	NA	NA	17.0	ng/ml*hr	Day 14
