study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
Kasichayanula2011a	NA	MAD0	9.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	0.0	hr	NA	0.0	NA	NA	NA	g	NA	0.0
Kasichayanula2011a	NA	MAD0	9.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	24.0	hr	NA	9.0	24.5762711864406	15.5762711864406	NA	g	NA	24.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	0.0	hr	NA	0.0	NA	NA	NA	g	NA	0.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	24.0	hr	NA	38.0	50.7194244604316	12.7194244604316	NA	g	NA	24.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	0.0	hr	NA	0.0	NA	NA	NA	g	NA	0.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	24.0	hr	NA	68.0	81.6546762589928	13.6546762589928	NA	g	NA	24.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	0.0	hr	NA	0.0	NA	NA	NA	g	NA	0.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	24.0	hr	NA	77.0	94.6043165467625	17.6043165467625	NA	g	NA	24.0
Kasichayanula2011a	NA	MAD0	9.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	312.0	hr	NA	0.0	NA	NA	NA	g	Day 14	0.0
Kasichayanula2011a	NA	MAD0	9.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	336.0	hr	NA	7.0	18.1355932203389	11.1355932203389	NA	g	Day 14	24.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	312.0	hr	NA	0.0	NA	NA	NA	g	Day 14	0.0
Kasichayanula2011a	NA	MAD2.5	9.0	DAP2.5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD2.5	336.0	hr	NA	42.0	55.0359712230215	13.0359712230215	NA	g	Day 14	24.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	312.0	hr	NA	0.0	NA	NA	NA	g	Day 14	0.0
Kasichayanula2011a	NA	MAD10	9.0	DAP10M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD10	336.0	hr	NA	71.0	82.7338129496403	11.7338129496403	NA	g	Day 14	24.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	312.0	hr	NA	0.0	NA	NA	NA	g	Day 14	0.0
Kasichayanula2011a	NA	MAD20	9.0	DAP20M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD20	336.0	hr	NA	73.0	93.5251798561151	20.5251798561151	NA	g	Day 14	24.0
