study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kasichayanula2011a	all	68.0	NA	species	68.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	all	68.0	NA	sex	68.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	all	68.0	NA	age	68.0	NA	NA	NA	NA	NA	NA	NA	NA	yr	NA
Kasichayanula2011a	all	68.0	NA	weight	68.0	NA	NA	NA	NA	NA	NA	NA	NA	kg	NA
Kasichayanula2011a	all	68.0	NA	height	68.0	NA	NA	NA	NA	NA	NA	NA	NA	cm	NA
Kasichayanula2011a	all	68.0	NA	bmi	68.0	NA	NA	NA	NA	NA	NA	NA	NA	kg/m^2	NA
Kasichayanula2011a	all	68.0	NA	fasting	68.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	all	68.0	NA	ethnicity	68.0	NA	japanese	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	all	68.0	NA	healthy	32.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	all	68.0	NA	healthy	36.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	SAD	32.0	all	healthy	32.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	healthy control
Kasichayanula2011a	SAD	32.0	all	sex	32.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kasichayanula2011a	SAD	32.0	all	age	32.0	NA	NA	NA	NA	NA	NA	20.0	45.0	yr	NA
Kasichayanula2011a	SAD	32.0	all	bmi	32.0	NA	NA	NA	NA	NA	NA	18.0	25.0	kg/m^2	NA
Kasichayanula2011a	SAD0	6.0	SAD	age	6.0	NA	NA	23.0	NA	2.7	NA	NA	NA	yr	NA
Kasichayanula2011a	SAD0	6.0	SAD	weight	6.0	NA	NA	64.3	NA	6.8	NA	NA	NA	kg	NA
Kasichayanula2011a	SAD0	6.0	SAD	bmi	6.0	NA	NA	21.1	NA	1.7	NA	NA	NA	kg/m^2	NA
Kasichayanula2011a	SAD0	6.0	SAD	clearance	6.0	creatinine	NA	135.6	NA	16.3	NA	NA	NA	ml/min	NA
Kasichayanula2011a	SAD2.5	6.0	SAD	age	6.0	NA	NA	24.0	NA	1.0	NA	NA	NA	yr	NA
Kasichayanula2011a	SAD2.5	6.0	SAD	weight	6.0	NA	NA	64.7	NA	6.0	NA	NA	NA	kg	NA
Kasichayanula2011a	SAD2.5	6.0	SAD	bmi	6.0	NA	NA	21.5	NA	2.0	NA	NA	NA	kg/m^2	NA
Kasichayanula2011a	SAD2.5	6.0	SAD	clearance	6.0	creatinine	NA	151.6	NA	15.5	NA	NA	NA	ml/min	NA
Kasichayanula2011a	SAD10	6.0	SAD	age	6.0	NA	NA	NA	NA	NA	NA	NA	NA	yr	NA
Kasichayanula2011a	SAD10	6.0	SAD	weight	6.0	NA	NA	60.0	NA	5.2	NA	NA	NA	kg	NA
Kasichayanula2011a	SAD10	6.0	SAD	bmi	6.0	NA	NA	20.0	NA	1.1	NA	NA	NA	kg/m^2	NA
Kasichayanula2011a	SAD10	6.0	SAD	clearance	6.0	creatinine	NA	150.2	NA	34.5	NA	NA	NA	ml/min	NA
Kasichayanula2011a	SAD20	6.0	SAD	age	6.0	NA	NA	21.0	NA	1.5	NA	NA	NA	yr	NA
Kasichayanula2011a	SAD20	6.0	SAD	weight	6.0	NA	NA	64.8	NA	5.4	NA	NA	NA	kg	NA
Kasichayanula2011a	SAD20	6.0	SAD	bmi	6.0	NA	NA	21.4	NA	2.0	NA	NA	NA	kg/m^2	NA
Kasichayanula2011a	SAD20	6.0	SAD	clearance	6.0	creatinine	NA	147.7	NA	19.4	NA	NA	NA	ml/min	NA
Kasichayanula2011a	SAD50	6.0	SAD	age	6.0	NA	NA	24.0	NA	4.3	NA	NA	NA	yr	NA
Kasichayanula2011a	SAD50	6.0	SAD	weight	6.0	NA	NA	67.4	NA	8.7	NA	NA	NA	kg	NA
Kasichayanula2011a	SAD50	6.0	SAD	bmi	6.0	NA	NA	21.9	NA	1.8	NA	NA	NA	kg/m^2	NA
