,author,keywords,pmc,pmid,prob,pubdate,title
0,TW de Bruin; S Reele; JE Hamer-Maansson; S Parikh; W Tang,SGLT2 inhibitor; dapagliflozin; fixed-dose combination; metformin; pharmacokinetics,,27138025,0.9988915324211121,2016,Bioequivalence of fixed-dose combinations of dapagliflozin and metformin with single-component tablets in healthy subjects and the effect of food on bioavailability.
1,S Kasichayanula; X Liu; WC Shyu; W Zhang; M Pfister; SC Griffen; T Li; FP LaCreta; DW Boulton,,,21114603,0.9984132051467896,2011,"Lack of pharmacokinetic interaction between dapagliflozin, a novel sodium-glucose transporter 2 inhibitor, and metformin, pioglitazone, glimepiride or sitagliptin in healthy subjects."
2,S Kasichayanula; X Liu; W Zhang; M Pfister; SB Reele; AF Aubry; FP LaCreta; DW Boulton,,,21435141,0.9979682564735413,2011,"Effect of a high-fat meal on the pharmacokinetics of dapagliflozin, a selective SGLT2 inhibitor, in healthy subjects."
3,A Imamura; M Kusunoki; S Ueda; N Hayashi; Y Imai,,,23307267,0.9979191422462463,2013,Impact of voglibose on the pharmacokinetics of dapagliflozin in Japanese patients with type 2 diabetes.
4,B Vakkalagadda; S Lubin; L Reynolds; D Liang; AS Marion; F LaCreta; DW Boulton,dapagliflozin; dipeptidyl peptidase-4 (DPP-4) inhibitor; drug interaction; saxagliptin; sodium-glucose cotransporter 2 (SGLT-2) inhibitor,,27491280,0.9974321722984314,2016,Lack of a Pharmacokinetic Interaction Between Saxagliptin and Dapagliflozin in Healthy Subjects: A Randomized Crossover Study.
5,D Busse; W Tang; M Scheerer; T Danne; T Biester; V Sokolov; D Boulton; J Parkinson,covariates; dapagliflozin; exposure-response; paediatric; pharmacokinetics; type 1 diabetes mellitus,,31077437,0.9964740872383118,2019,Comparison of pharmacokinetics and the exposure-response relationship of dapagliflozin between adolescent/young adult and adult patients with type 1 diabetes mellitus.
6,S Kasichayanula; M Chang; M Hasegawa; X Liu; N Yamahira; FP LaCreta; Y Imai; DW Boulton,,,21226818,0.9960038065910339,2011,"Pharmacokinetics and pharmacodynamics of dapagliflozin, a novel selective inhibitor of sodium-glucose co-transporter type 2, in Japanese subjects without and with type 2 diabetes mellitus."
7,GS Tirucherai; F LaCreta; FA Ismat; W Tang; DW Boulton,dapagliflozin; paediatric; pharmacodynamics; pharmacokinetics; type 2 diabetes mellitus,,27291448,0.9958264231681824,2016,Pharmacokinetics and pharmacodynamics of dapagliflozin in children and adolescents with type 2 diabetes mellitus.
8,S Kasichayanula; X Liu; W Zhang; M Pfister; FP LaCreta; DW Boulton,,,22030444,0.9956619143486023,2011,"Influence of hepatic impairment on the pharmacokinetics and safety profile of dapagliflozin: an open-label, parallel-group, single-dose study."
9,M Obermeier; M Yao; A Khanna; B Koplowitz; M Zhu; W Li; B Komoroski; S Kasichayanula; L Discenza; W Washburn; W Meng; BA Ellsworth; JM Whaley; WG Humphreys,,,19996149,0.995627760887146,2010,"In vitro characterization and pharmacokinetics of dapagliflozin (BMS-512148), a potent sodium-glucose cotransporter type II inhibitor, in animals and humans."
10,AB van der Aart-van der Beek; JV Koomen; CCJ Dekkers; SJ Barbour; DW Boulton; RT Gansevoort; PJ Greasley; AH Abdul Gafor; GD Laverman; Q Li; SK Lim; J Stevens; MG Vervloet; S Singh; DC Cattran; HN Reich; DZI Cherney; HJL Heerspink,,,33587286,0.9951550960540771,2021,Evaluation of the Pharmacokinetics and Exposure-Response Relationship of Dapagliflozin in Patients without Diabetes and with Chronic Kidney Disease.
11,L Yang; H Li; H Li; A Bui; M Chang; X Liu; S Kasichayanula; SC Griffen; FP Lacreta; DW Boulton,Chinese; SGLT2; dapagliflozin; pharmacodynamics; pharmacokinetics; type 2 diabetes mellitus,,23910664,0.9949579834938049,2013,"Pharmacokinetic and pharmacodynamic properties of single- and multiple-dose of dapagliflozin, a selective inhibitor of SGLT2, in healthy Chinese subjects."
12,X Li; X Zhu; J Liu; Q Li; H Zhang; C Li; M Wu; L Gao; H Wen; X Li; X Tang; L Liu; Y Ding,SGLT2 inhibitors; dapagliflozin; janagliflozin; pharmacokinetics and pharmacodynamics; type 2 diabetes mellitus,,32744380,0.9933106899261475,2020,"Pharmacokinetics, pharmacodynamics and tolerability of single and multiple doses of janagliflozin, a sodium-glucose co-transporter-2 inhibitor, in Chinese people with type 2 diabetes mellitus."
13,JS van der Walt; Y Hong; L Zhang; M Pfister; DW Boulton; MO Karlsson,,,23887724,0.9919397234916687,2013,A Nonlinear Mixed Effects Pharmacokinetic Model for Dapagliflozin and Dapagliflozin 3-O-glucuronide in Renal or Hepatic Impairment.
14,BM Ayoub; S Mowaka; ES Elzanfaly; N Ashoush; MM Elmazar; SA Mousa,,,28566743,0.9902710914611816,2017,Pharmacokinetic Evaluation of Empagliflozin in Healthy Egyptian Volunteers Using LC-MS/MS and Comparison with Other Ethnic Populations.
15,W Tang; TA Leil; E Johnsson; DW Boulton; F LaCreta,dapagliflozin; pharmacodynamics; pharmacokinetics; type 1 diabetes; type 2 diabetes,,26510924,0.989791214466095,2016,Comparison of the pharmacokinetics and pharmacodynamics of dapagliflozin in patients with type 1 versus type 2 diabetes mellitus.
16,S Cho; J Lee; Y Yoo; M Cho; S Sohn; BJ Lee,cocrystal; comparative pharmacokinetics; dapagliflozin; dissolution; dry granulation; manufacturability; stability,,33430328,0.9890802502632141,2021,Improved Manufacturability and In Vivo Comparative Pharmacokinetics of Dapagliflozin Cocrystals in Beagle Dogs and Human Volunteers.
