study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2013	healthy	8.0	DAP50	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	710.0	NA	NA	220.1	NA	31.0	ng/ml	geometric mean
Kasichayanula2013	healthy	8.0	DAP50	auc_inf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	2880.0	NA	NA	777.6	NA	27.0	ng/ml*hr	geometric mean
Kasichayanula2013	healthy	8.0	DAP50	auc_end	dapagliflozin	plasma	HPLC MS/MS	60.0	hr	2821.0	NA	NA	761.67	NA	27.0	ng/ml*hr	geometric mean
Kasichayanula2013	healthy	8.0	DAP50	thalf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	12.7	NA	NA	7.0	NA	NA	hr	NA
Kasichayanula2013	healthy	8.0	DAP50	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	1.17	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2013	healthy	8.0	DAP50	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	hr	3.52	NA	NA	1.1968	NA	34.0	ml/min	geometric mean
Kasichayanula2013	healthy	8.0	DAP50	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	hr	289.0	NA	NA	75.14	NA	26.0	ml/min	geometric mean
Kasichayanula2013	healthy	8.0	DAP50	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	hr	176.0	NA	NA	63.36	NA	36.0	l	NA
Kasichayanula2013	healthy	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	60.0	hr	1.2	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	normal	12.0	DAP50	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	647.0	NA	NA	239.39	NA	37.0	ng/ml	geometric mean
Kasichayanula2013	normal	12.0	DAP50	auc_inf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	2504.0	NA	NA	751.2	NA	30.0	ng/ml*hr	geometric mean
Kasichayanula2013	normal	12.0	DAP50	auc_end	dapagliflozin	plasma	HPLC MS/MS	60.0	hr	2439.0	NA	NA	731.7	NA	30.0	ng/ml*hr	geometric mean
Kasichayanula2013	normal	12.0	DAP50	thalf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	11.9	NA	NA	5.7	NA	NA	hr	NA
Kasichayanula2013	normal	12.0	DAP50	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	1.25	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2013	normal	12.0	DAP50	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	hr	3.43	NA	NA	1.6121	NA	47.0	ml/min	geometric mean
Kasichayanula2013	normal	12.0	DAP50	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	hr	333.0	NA	NA	86.58	NA	26.0	ml/min	geometric mean
Kasichayanula2013	normal	12.0	DAP50	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	hr	200.0	NA	NA	84.0	NA	42.0	l	NA
Kasichayanula2013	normal	12.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	60.0	hr	1.0	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2013	mild 	8.0	DAP50	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	902.0	NA	NA	315.7	NA	35.0	ng/ml	geometric mean
Kasichayanula2013	mild 	8.0	DAP50	auc_inf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	4018.0	NA	NA	1044.68	NA	26.0	ng/ml*hr	geometric mean
Kasichayanula2013	mild 	8.0	DAP50	auc_end	dapagliflozin	plasma	HPLC MS/MS	60.0	hr	3832.0	NA	NA	996.32	NA	26.0	ng/ml*hr	geometric mean
Kasichayanula2013	mild 	8.0	DAP50	thalf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	18.4	NA	NA	8.2	NA	NA	hr	NA
Kasichayanula2013	mild 	8.0	DAP50	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	1.25	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2013	mild 	8.0	DAP50	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	hr	2.85	NA	NA	1.5675	NA	55.0	ml/min	geometric mean
Kasichayanula2013	mild 	8.0	DAP50	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	hr	207.0	NA	NA	51.75	NA	25.0	ml/min	geometric mean
Kasichayanula2013	mild 	8.0	DAP50	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	hr	168.0	NA	NA	84.0	NA	50.0	l	NA
Kasichayanula2013	mild 	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	60.0	hr	1.4	NA	NA	1.0	NA	NA	percent	NA
Kasichayanula2013	moderate	8.0	DAP50	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	897.0	NA	NA	367.77	NA	41.0	ng/ml	geometric mean
Kasichayanula2013	moderate	8.0	DAP50	auc_inf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	5182.0	NA	NA	1450.96	NA	28.0	ng/ml*hr	geometric mean
Kasichayanula2013	moderate	8.0	DAP50	auc_end	dapagliflozin	plasma	HPLC MS/MS	60.0	hr	4847.0	NA	NA	1696.45	NA	35.0	ng/ml*hr	geometric mean
Kasichayanula2013	moderate	8.0	DAP50	thalf	dapagliflozin	plasma	HPLC MS/MS	NA	hr	17.9	NA	NA	3.4	NA	NA	hr	NA
Kasichayanula2013	moderate	8.0	DAP50	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	hr	1.0	0.5	3.0	NA	NA	NA	hr	median
Kasichayanula2013	moderate	8.0	DAP50	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	hr	2.06	NA	NA	1.6686	NA	81.0	ml/min	geometric mean
Kasichayanula2013	moderate	8.0	DAP50	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	hr	161.0	NA	NA	41.86	NA	26.0	ml/min	geometric mean
Kasichayanula2013	moderate	8.0	DAP50	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	hr	171.0	NA	NA	70.11	NA	41.0	l	NA
Kasichayanula2013	moderate	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	60.0	hr	1.6	NA	NA	1.3	NA	NA	percent	NA
