study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2013	normal 	4.0	DAP20_d4	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	249.0	NA	NA	52.29	NA	21.0	ng/ml	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d4	auc_end	dapagliflozin	plasma	HPLC MS/MS	24.0	hr	864.0	NA	NA	95.04	NA	11.0	ng/ml*hr	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d4	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	0.5	1.5	NA	NA	NA	hr	median
Kasichayanula2013	normal 	4.0	DAP20_d4	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	NA	340.0	NA	NA	71.4	NA	21.0	ml/min	NA
Kasichayanula2013	normal 	4.0	DAP20_d4	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	NA	198.0	NA	NA	124.74	NA	63.0	l	NA
Kasichayanula2013	normal 	4.0	DAP20_d4	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	NA	5.22	NA	NA	1.9836	NA	38.0	ml/min	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	24.0	hr	1.4	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	normal 	4.0	DAP20_d10	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	310.0	NA	NA	68.2	NA	22.0	ng/ml	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d10	auc_end	dapagliflozin	plasma	HPLC MS/MS	24.0	hr	853.0	NA	NA	68.24	NA	8.0	ng/ml*hr	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d10	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	0.5	1.0	NA	NA	NA	hr	median
Kasichayanula2013	normal 	4.0	DAP20_d10	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	NA	363.0	NA	NA	29.04	NA	8.0	ml/min	NA
Kasichayanula2013	normal 	4.0	DAP20_d10	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	NA	160.0	NA	NA	32.0	NA	20.0	l	NA
Kasichayanula2013	normal 	4.0	DAP20_d10	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	NA	6.51	NA	NA	2.2134	NA	34.0	ml/min	geometric mean
Kasichayanula2013	normal 	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	24.0	hr	1.7	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	mild 	4.0	DAP20_d4	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	410.0	NA	NA	94.3	NA	23.0	ng/ml	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d4	auc_end	dapagliflozin	plasma	HPLC MS/MS	24.0	hr	1428.0	NA	NA	542.64	NA	38.0	ng/ml*hr	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d4	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	1.0	6.0	NA	NA	NA	hr	median
Kasichayanula2013	mild 	4.0	DAP20_d4	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	NA	254.0	NA	NA	83.82	NA	33.0	ml/min	NA
Kasichayanula2013	mild 	4.0	DAP20_d4	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	NA	115.0	NA	NA	29.9	NA	26.0	l	NA
Kasichayanula2013	mild 	4.0	DAP20_d4	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	NA	2.37	NA	NA	1.2798	NA	54.0	ml/min	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	24.0	hr	1.1	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2013	mild 	4.0	DAP20_d10	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	358.0	NA	NA	89.5	NA	25.0	ng/ml	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d10	auc_end	dapagliflozin	plasma	HPLC MS/MS	24.0	hr	1443.0	NA	NA	303.03	NA	21.0	ng/ml*hr	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d10	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	1.0	1.5	NA	NA	NA	hr	median
Kasichayanula2013	mild 	4.0	DAP20_d10	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	NA	212.0	NA	NA	46.64	NA	22.0	ml/min	NA
Kasichayanula2013	mild 	4.0	DAP20_d10	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	NA	105.0	NA	NA	27.3	NA	26.0	l	NA
Kasichayanula2013	mild 	4.0	DAP20_d10	clearance_renal	dapagliflozin	plasma	HPLC MS/MS	NA	NA	2.52	NA	NA	1.2852	NA	51.0	ml/min	geometric mean
Kasichayanula2013	mild 	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	24.0	hr	1.2	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	moderate	6.0	DAP20_d4	cmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	466.0	NA	NA	97.86	NA	21.0	ng/ml	geometric mean
Kasichayanula2013	moderate	6.0	DAP20_d4	auc_end	dapagliflozin	plasma	HPLC MS/MS	24.0	hr	1807.0	NA	NA	560.17	NA	31.0	ng/ml*hr	geometric mean
Kasichayanula2013	moderate	6.0	DAP20_d4	tmax	dapagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	0.5	1.0	NA	NA	NA	hr	median
Kasichayanula2013	moderate	6.0	DAP20_d4	clearance	dapagliflozin	plasma	HPLC MS/MS	NA	NA	117.0	NA	NA	54.99	NA	47.0	ml/min	NA
Kasichayanula2013	moderate	6.0	DAP20_d4	vd0	dapagliflozin	plasma	HPLC MS/MS	NA	NA	132.0	NA	NA	73.92	NA	56.0	l	NA
