study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2013	normal	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_normal	24.0	hr	1.4	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_normal	24.0	hr	1.7	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	mild	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	mild	4.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_mild	24.0	hr	1.1	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2013	mild	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	mild	4.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_mild	24.0	hr	1.2	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	moderate	6.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_moderate	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	moderate	6.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_moderate	24.0	hr	2.0	NA	NA	2.2	NA	NA	percent	NA
Kasichayanula2013	moderate	6.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_moderate	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	moderate	6.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_moderate	24.0	hr	1.8	NA	NA	1.1	NA	NA	percent	NA
Kasichayanula2013	severe	3.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_severe	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	severe	3.0	DAP20_d4	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d4_severe	24.0	hr	0.9	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2013	severe	3.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_severe	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	severe	3.0	DAP20_d10	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP20_d10_severe	24.0	hr	0.8	NA	NA	0.3	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d4	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP20_d4_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d4	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP20_d4_normal	24.0	hr	79.9	NA	NA	15.4	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d10	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP20_d10_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	4.0	DAP20_d10	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP20_d10_normal	24.0	hr	60.5	NA	NA	33.3	NA	NA	percent	NA
