study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	4.0	hr	NA	5.91133004926109	NA	NA	NA	g	NA	4.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	8.0	hr	NA	12.807881773399	NA	NA	NA	g	NA	8.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	12.0	hr	NA	23.6453201970443	NA	NA	NA	g	NA	12.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	16.0	hr	NA	31.0344827586206	NA	NA	NA	g	NA	16.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	20.0	hr	NA	38.423645320197	NA	NA	NA	g	NA	20.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	24.0	hr	NA	45.3201970443349	NA	NA	NA	g	NA	24.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	4.0	hr	NA	11.3300492610837	NA	NA	NA	g	NA	4.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	8.0	hr	NA	19.7044334975369	NA	NA	NA	g	NA	8.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	12.0	hr	NA	35.9605911330049	NA	NA	NA	g	NA	12.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	16.0	hr	NA	49.2610837438423	NA	NA	NA	g	NA	16.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	20.0	hr	NA	62.0689655172413	NA	NA	NA	g	NA	20.0
FDAMB102003	NA	MAD25	12.0	DAP25M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD25	24.0	hr	NA	75.3694581280788	NA	NA	NA	g	NA	24.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	4.0	hr	NA	9.85221674876845	NA	NA	NA	g	NA	4.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	8.0	hr	NA	19.2118226600985	NA	NA	NA	g	NA	8.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	12.0	hr	NA	35.4679802955664	NA	NA	NA	g	NA	12.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	16.0	hr	NA	50.2463054187192	NA	NA	NA	g	NA	16.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	20.0	hr	NA	61.0837438423645	NA	NA	NA	g	NA	20.0
FDAMB102003	NA	MAD100	14.0	DAP100M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD100	24.0	hr	NA	80.7881773399015	NA	NA	NA	g	NA	24.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	316.0	hr	NA	0.0	NA	NA	NA	g	NA	4.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	320.0	hr	NA	0.0	NA	NA	NA	g	NA	8.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	324.0	hr	NA	0.0	NA	NA	NA	g	NA	12.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	328.0	hr	NA	0.0	NA	NA	NA	g	NA	16.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	332.0	hr	NA	0.0	NA	NA	NA	g	NA	20.0
FDAMB102003	NA	MAD0	11.0	DAP0M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD0	336.0	hr	NA	0.0	NA	NA	NA	g	NA	24.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	316.0	hr	NA	5.32687651331718	NA	NA	NA	g	NA	4.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	320.0	hr	NA	10.1694915254237	NA	NA	NA	g	NA	8.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	324.0	hr	NA	18.4019370460048	NA	NA	NA	g	NA	12.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	328.0	hr	NA	27.6029055690072	NA	NA	NA	g	NA	16.0
FDAMB102003	NA	MAD5	10.0	DAP5M	cumulative amount	glucose	urine	LC MS/MS	uge_MAD5	332.0	hr	NA	32.9297820823244	NA	NA	NA	g	NA	20.0
