study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
FDAMB102003	MAD5	11.0	DAP5	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	66.0	NA	NA	NA	NA	37.0	ng/ml	NA
FDAMB102003	MAD5	11.0	DAP5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	220.0	NA	NA	NA	NA	32.0	ng/ml*hr	NA
FDAMB102003	MAD5	11.0	DAP5	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
FDAMB102003	MAD5	11.0	DAP5	 recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.44	NA	NA	0.75	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	5.88	NA	NA	4.07	NA	NA	ml/min	NA
FDAMB102003	MAD25	12.0	DAP25	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	279.0	NA	NA	NA	NA	19.0	ng/ml	NA
FDAMB102003	MAD25	12.0	DAP25	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	1037.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
FDAMB102003	MAD25	12.0	DAP25	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
FDAMB102003	MAD25	12.0	DAP25	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	0.83	NA	NA	0.34	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.44	NA	NA	1.83	NA	NA	ml/min	NA
FDAMB102003	MAD100	16.0	DAP100	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1490.0	NA	NA	NA	NA	40.0	ng/ml	NA
FDAMB102003	MAD100	16.0	DAP100	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	5427.0	NA	NA	NA	NA	30.0	ng/ml*hr	NA
FDAMB102003	MAD100	16.0	DAP100	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	4.0	NA	NA	NA	hr	NA
FDAMB102003	MAD100	16.0	DAP100	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.49	NA	NA	0.8	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	4.41	NA	NA	1.89	NA	NA	ml/min	NA
FDAMB102003	MAD5	11.0	DAP5M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	68.0	NA	NA	NA	NA	32.0	ng/ml	NA
FDAMB102003	MAD5	11.0	DAP5M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	281.0	NA	NA	NA	NA	28.0	ng/ml*hr	NA
FDAMB102003	MAD5	11.0	DAP5M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	NA
FDAMB102003	MAD5	11.0	DAP5M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	2.02	NA	NA	1.21	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	6.37	NA	NA	3.91	NA	NA	ml/min	NA
FDAMB102003	MAD25	12.0	DAP25M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	288.0	NA	NA	NA	NA	41.0	ng/ml	NA
FDAMB102003	MAD25	12.0	DAP25M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	1373.0	NA	NA	NA	NA	31.0	ng/ml*hr	NA
FDAMB102003	MAD25	12.0	DAP25M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	1.0	2.0	NA	NA	NA	hr	NA
FDAMB102003	MAD25	12.0	DAP25M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	1.28	NA	NA	0.66	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	3.95	NA	NA	2.47	NA	NA	ml/min	NA
FDAMB102003	MAD100	16.0	DAP100M	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1617.0	NA	NA	NA	NA	46.0	ng/ml	NA
FDAMB102003	MAD100	16.0	DAP100M	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	7070.0	NA	NA	NA	NA	36.0	ng/ml*hr	NA
FDAMB102003	MAD100	16.0	DAP100M	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	4.0	NA	NA	NA	hr	NA
FDAMB102003	MAD100	16.0	DAP100M	recovery	dapagliflozin	urine	LC MS/MS	24.0	hr	2.41	NA	NA	0.9	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100M	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	5.5	NA	NA	1.89	NA	NA	ml/min	NA
