study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments	timeraw
FDAMB102003	MAD0	11.0	DAP0-2	renal threshold	glucose	urine	LC MS/MS	4	hr	0.09	NA	NA	0.04	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD0	11.0	DAP0-2	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.45	NA	NA	1.09	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD5	11.0	DAP5-2	renal threshold	glucose	urine	LC MS/MS	4	hr	0.09	NA	NA	0.09	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD5	11.0	DAP5-2	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.04	NA	NA	0.03	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD25	12.0	DAP25-2	renal threshold	glucose	urine	LC MS/MS	4	hr	0.05	NA	NA	0.04	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD25	12.0	DAP25-2	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.04	NA	NA	0.04	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD100	16.0	DAP100-2	renal threshold	glucose	urine	LC MS/MS	4	hr	0.09	NA	NA	0.14	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD100	16.0	DAP100-2	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.04	NA	NA	0.03	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD0	11.0	DAP0	renal threshold	glucose	urine	LC MS/MS	4	hr	0.06	NA	NA	0.05	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD0	11.0	DAP0	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.04	NA	NA	0.02	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD5	11.0	DAP5	renal threshold	glucose	urine	LC MS/MS	4	hr	19.49	NA	NA	13.21	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD5	11.0	DAP5	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	21.37	NA	NA	11.01	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD25	12.0	DAP25	renal threshold	glucose	urine	LC MS/MS	4	hr	33.56	NA	NA	10.06	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD25	12.0	DAP25	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	24.37	NA	NA	10.3	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD100	16.0	DAP100	renal threshold	glucose	urine	LC MS/MS	4	hr	36.15	NA	NA	9.53	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD100	16.0	DAP100	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	27.36	NA	NA	9.47	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD0	11.0	DAP0M	renal threshold	glucose	urine	LC MS/MS	4	hr	0.88	NA	NA	1.86	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD0	11.0	DAP0M	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	0.07	NA	NA	0.07	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD5	11.0	DAP5M	renal threshold	glucose	urine	LC MS/MS	4	hr	19.77	NA	NA	15.47	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD5	11.0	DAP5M	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	14.67	NA	NA	12.97	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD25	12.0	DAP25M	renal threshold	glucose	urine	LC MS/MS	4	hr	40.88	NA	NA	18.99	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD25	12.0	DAP25M	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	19.02	NA	NA	8.21	NA	NA	percent	NA	4|5|6|7|8
FDAMB102003	MAD100	16.0	DAP100M	renal threshold	glucose	urine	LC MS/MS	4	hr	44.01	NA	NA	15.65	NA	NA	percent	NA	0|1|2|3|4
FDAMB102003	MAD100	16.0	DAP100M	renal threshold	glucose	urine	LC MS/MS	4|5|6|7|8	hr	23.12	NA	NA	9.55	NA	NA	percent	NA	4|5|6|7|8
