study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
FDAMB102003	MAD5	11.0	DAP5M	 recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD5	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5M	 recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD5	24.0	hr	1.44	NA	NA	0.75	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD25	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD25	24.0	hr	0.83	NA	NA	0.34	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD100	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD100	24.0	hr	1.49	NA	NA	0.8	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD5	312.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD5	336.0	hr	2.02	NA	NA	1.21	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD25	312.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD25	12.0	DAP25M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD25	336.0	hr	1.28	NA	NA	0.66	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD100	312.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102003	MAD100	16.0	DAP100M	recovery	dapagliflozin	urine	LC MS/MS	dapagliflozin_recovery_MAD100	336.0	hr	2.41	NA	NA	0.9	NA	NA	percent	NA
FDAMB102003	MAD5	11.0	DAP5M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD5	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD5	11.0	DAP5M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD5	24.0	hr	0.072	NA	NA	0.0375	NA	NA	mg	NA
FDAMB102003	MAD25	12.0	DAP25M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD25	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD25	12.0	DAP25M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD25	24.0	hr	0.2075	NA	NA	0.085	NA	NA	mg	NA
FDAMB102003	MAD100	16.0	DAP100M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD100	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD100	16.0	DAP100M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD100	24.0	hr	1.49	NA	NA	0.8	NA	NA	mg	NA
FDAMB102003	MAD5	11.0	DAP5M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD5	312.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD5	11.0	DAP5M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD5	336.0	hr	0.101	NA	NA	0.0605	NA	NA	mg	NA
FDAMB102003	MAD25	12.0	DAP25M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD25	312.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD25	12.0	DAP25M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD25	336.0	hr	0.32	NA	NA	0.165	NA	NA	mg	NA
FDAMB102003	MAD100	16.0	DAP100M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD100	312.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102003	MAD100	16.0	DAP100M	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_urine_MAD100	336.0	hr	2.41	NA	NA	0.9	NA	NA	mg	NA
