study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2013a	RIF	14.0	DAP10	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10_RIF	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10_RIF	24.0	hr	0.151	NA	NA	0.05500000000000001	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10_MFA	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10_MFA	24.0	hr	0.123	NA	NA	0.033	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10_RIF	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10_RIF	24.0	hr	6.8999999999999995	NA	NA	0.5700000000000001	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10_MFA	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10_MFA	24.0	hr	6.59	NA	NA	1.3900000000000001	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10, RIF	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10, RIF_RIF	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10, RIF	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10, RIF_RIF	24.0	hr	0.111	NA	NA	0.031	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10, MFA	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10, MFA_MFA	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10, MFA	cumulative amount	dapagliflozin	urine	LC MS/MS	dapagliflozin_cumulative amount_DAP10, MFA_MFA	24.0	hr	0.22499999999999998	NA	NA	0.06999999999999999	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10, RIF	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10, RIF_RIF	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	RIF	14.0	DAP10, RIF	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10, RIF_RIF	24.0	hr	5.02	NA	NA	0.98	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10, MFA	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10, MFA_MFA	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013a	MFA	16.0	DAP10, MFA	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP10, MFA_MFA	24.0	hr	6.29	NA	NA	0.8699999999999999	NA	NA	mg	NA
