study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
FDAMB102007	healthy	5.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_healthy	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102007	healthy	5.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_healthy	24.0	hr	40.2759536579818	NA	NA	15.3806927823554	NA	NA	mg	NA
FDAMB102007	healthy	5.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_healthy	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102007	healthy	5.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_healthy	24.0	hr	56.3	NA	NA	21.5	NA	NA	percent	NA
FDAMB102007	normal	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102007	normal	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_normal	24.0	hr	38.1298104790485	NA	NA	23.536036862302	NA	NA	mg	NA
FDAMB102007	normal	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_normal	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102007	normal	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_normal	24.0	hr	53.3	NA	NA	32.9	NA	NA	percent	NA
FDAMB102007	mild	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_mild	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102007	mild	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_mild	24.0	hr	48.1451453140706	NA	NA	20.3883601998665	NA	NA	mg	NA
FDAMB102007	mild	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_mild	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102007	mild	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_mild	24.0	hr	67.3	NA	NA	28.5	NA	NA	percent	NA
FDAMB102007	moderate	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102007	moderate	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_moderate	24.0	hr	41.1344109295551	NA	NA	15.1660784644621	NA	NA	mg	NA
FDAMB102007	moderate	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_moderate	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102007	moderate	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_moderate	24.0	hr	57.5	NA	NA	21.2	NA	NA	percent	NA
FDAMB102007	severe	6.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_severe	0.0	hr	0.0	NA	NA	NA	NA	NA	mg	NA
FDAMB102007	severe	6.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_severe	24.0	hr	19.1006742925065	NA	NA	11.0884064244888	NA	NA	mg	NA
FDAMB102007	severe	6.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_severe	0.0	hr	0.0	NA	NA	NA	NA	NA	percent	NA
FDAMB102007	severe	6.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_severe	24.0	hr	26.7	NA	NA	15.5	NA	NA	percent	NA
