study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
FDAMB102007	healthy	5.0	DAP50	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	904.0	NA	NA	253.12	NA	28.0	ng/ml	NA
FDAMB102007	healthy	5.0	DAP50	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	2.0	1.0	2.0	NA	NA	NA	hr	NA
FDAMB102007	healthy	5.0	DAP50	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	13.3	NA	NA	6.6	NA	NA	hr	NA
FDAMB102007	healthy	5.0	DAP50	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	4133.0	NA	NA	578.62	NA	14.0	ng/ml*hr	NA
FDAMB102007	healthy	5.0	DAP50	clearance_renal	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	NA	NA	161.0	NA	NA	86.94	NA	54.0	ml/min	NA
FDAMB102007	healthy	5.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	40.2759536579818	NA	NA	15.3806927823554	NA	NA	mg	NA
FDAMB102007	healthy	5.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	56.3	NA	NA	21.5	NA	NA	percent	NA
FDAMB102007	normal	9.0	DAP50	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	1381.0	NA	NA	248.58	NA	18.0	ng/ml	NA
FDAMB102007	normal	9.0	DAP50	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	2.0	1.0	3.0	NA	NA	NA	hr	NA
FDAMB102007	normal	9.0	DAP50	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	11.9	NA	NA	4.1	NA	NA	hr	NA
FDAMB102007	normal	9.0	DAP50	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	6530.0	NA	NA	1436.6	NA	22.0	ng/ml*hr	NA
FDAMB102007	normal	9.0	DAP50	clearance_renal	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	NA	NA	80.0	NA	NA	53.6	NA	67.0	ml/min	NA
FDAMB102007	normal	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	38.1298104790485	NA	NA	23.536036862302	NA	NA	mg	NA
FDAMB102007	normal	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	53.3	NA	NA	32.9	NA	NA	percent	NA
FDAMB102007	mild	9.0	DAP50	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	1708.0	NA	NA	631.96	NA	37.0	ng/ml	NA
FDAMB102007	mild	9.0	DAP50	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	2.0	1.0	3.0	NA	NA	NA	hr	NA
FDAMB102007	mild	9.0	DAP50	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	14.5	NA	NA	6.7	NA	NA	hr	NA
FDAMB102007	mild	9.0	DAP50	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	9285.0	NA	NA	3528.3	NA	38.0	ng/ml*hr	NA
FDAMB102007	mild	9.0	DAP50	clearance_renal	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	NA	NA	77.0	NA	NA	27.72	NA	36.0	ml/min	NA
FDAMB102007	mild	9.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	48.1451453140706	NA	NA	20.3883601998665	NA	NA	mg	NA
FDAMB102007	mild	9.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	67.3	NA	NA	28.5	NA	NA	percent	NA
FDAMB102007	moderate	8.0	DAP50	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	1815.0	NA	NA	580.8	NA	32.0	ng/ml	NA
FDAMB102007	moderate	8.0	DAP50	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	1.5	1.0	2.9	NA	NA	NA	hr	NA
FDAMB102007	moderate	8.0	DAP50	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	15.7	NA	NA	6.4	NA	NA	hr	NA
FDAMB102007	moderate	8.0	DAP50	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	12959.0	NA	NA	5183.6	NA	40.0	ng/ml*hr	NA
FDAMB102007	moderate	8.0	DAP50	clearance_renal	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	NA	NA	50.0	NA	NA	24.5	NA	49.0	ml/min	NA
FDAMB102007	moderate	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	41.1344109295551	NA	NA	15.1660784644621	NA	NA	mg	NA
FDAMB102007	moderate	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	57.5	NA	NA	21.2	NA	NA	percent	NA
FDAMB102007	severe	6.0	DAP50	cmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	1905.0	NA	NA	476.25	NA	25.0	ng/ml	NA
FDAMB102007	severe	6.0	DAP50	tmax	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	2.0	1.5	4.0	NA	NA	NA	hr	NA
FDAMB102007	severe	6.0	DAP50	thalf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	19.9	NA	NA	12.7	NA	NA	hr	NA
FDAMB102007	severe	6.0	DAP50	auc_inf	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	NA	NA	21007.0	NA	NA	14704.9	NA	70.0	ng/ml*hr	NA
FDAMB102007	severe	6.0	DAP50	clearance_renal	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	NA	NA	14.0	NA	NA	3.92	NA	28.0	ml/min	NA
FDAMB102007	severe	6.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	19.1006742925065	NA	NA	11.0884064244888	NA	NA	mg	NA
FDAMB102007	severe	6.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	LC MS/MS	24.0	hr	26.7	NA	NA	15.5	NA	NA	percent	NA
