study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Imamura2013	all	22.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	180.0	82.3	301.0	NA	NA	28.0	ng/ml	geometric mean
Imamura2013	all	20.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	539.0	376.0	764.0	NA	NA	21.7	ng/ml*hr	geometric mean
Imamura2013	all	20.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	13.9	7.51	33.2	NA	NA	50.2	hr	geometric mean
Imamura2013	all	20.0	DAP10	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	18.6	13.1	26.6	NA	NA	21.7	l/hr	geometric mean
Imamura2013	all	22.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	0.467	4.02	NA	NA	NA	hr	geometric mean
Imamura2013	all	22.0	DAP10, VOG	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	187.0	101.0	342.0	NA	NA	29.5	ng/ml	geometric mean
Imamura2013	all	21.0	DAP10, VOG	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	554.0	290.0	1.04	NA	NA	28.1	ng/ml*hr	geometric mean
Imamura2013	all	21.0	DAP10, VOG	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	17.9	5.75	52.5	NA	NA	71.9	hr	geometric mean
Imamura2013	all	21.0	DAP10, VOG	clearance	dapagliflozin	plasma	LC MS/MS	NA	NA	18.0	9.6	34.4	NA	NA	28.1	l/hr	geometric mean
Imamura2013	all	22.0	DAP10, VOG	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	NA	0.483	1.5	NA	NA	NA	hr	geometric mean
