study	class	condition	parameter	dose	dose_unit	substance	n	mean	sd	unit	comments	mean_unit_conv	sd_unit_conv	unit_new	diabetes	hba1c	fpg
Kasichayanula2011	hepatic function	healthy	cmax	10	mg	dap	6	136	42.16	ng/ml		0.33	0.10	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	healthy	aucinf	10	mg	dap	6	465	158.1	ng/ml*hr		1.14	0.39	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	healthy	thalf	10	mg	dap	6	12.9	5.5	hr		12.90	5.50	hr	N	NR	NR
Kasichayanula2011	hepatic function	mild	cmax	10	mg	dap	6	120	33.6	ng/ml		0.29	0.08	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	mild	aucinf	10	mg	dap	6	480	124.8	ng/ml*hr		1.17	0.31	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	mild	thalf	10	mg	dap	6	15	8.5	hr		15.00	8.50	hr	N	NR	NR
Kasichayanula2011	hepatic function	moderate	cmax	10	mg	dap	6	153	78.03	ng/ml		0.37	0.19	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	moderate	aucinf	10	mg	dap	6	632	252.8	ng/ml*hr		1.55	0.62	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	moderate	thalf	10	mg	dap	6	8.1	2.9	hr		8.10	2.90	hr	N	NR	NR
Kasichayanula2011	hepatic function	severe	cmax	10	mg	dap	6	190	76	ng/ml		0.46	0.19	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	severe	aucinf	10	mg	dap	6	776	170.72	ng/ml*hr		1.90	0.42	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	severe	thalf	10	mg	dap	6	6.1	1.4	hr		6.10	1.40	hr	N	NR	NR
#																	
Kasichayanula2011	hepatic function	healthy	cmax	10	mg	d3g	6	196	80.36	ng/ml		0.34	0.14	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	healthy	aucinf	10	mg	d3g	6	837	318.1	ng/ml*hr		1.43	0.54	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	healthy	thalf	10	mg	d3g	6	16.4	15.2	hr		16.40	15.20	hr	N	NR	NR
Kasichayanula2011	hepatic function	mild	cmax	10	mg	d3g	6	203	121.8	ng/ml		0.35	0.21	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	mild	aucinf	10	mg	d3g	6	889	391.2	ng/ml*hr		1.52	0.67	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	mild	thalf	10	mg	d3g	6	10.5	5.1	hr		10.50	5.10	hr	N	NR	NR
Kasichayanula2011	hepatic function	moderate	cmax	10	mg	d3g	6	310	164.3	ng/ml		0.53	0.28	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	moderate	aucinf	10	mg	d3g	6	1670	818.3	ng/ml*hr		2.85	1.40	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	moderate	thalf	10	mg	d3g	6	9.3	7.2	hr		9.30	7.20	hr	N	NR	NR
Kasichayanula2011	hepatic function	severe	cmax	10	mg	d3g	6	168	72.24	ng/ml		0.29	0.12	µmole/l	N	NR	NR
Kasichayanula2011	hepatic function	severe	aucinf	10	mg	d3g	6	1082	346.2	ng/ml*hr		1.85	0.59	µmole/l*hr	N	NR	NR
Kasichayanula2011	hepatic function	severe	thalf	10	mg	d3g	6	6	1.7	hr		6.00	1.70	hr	N	NR	NR
