study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	0.206456456456455	hr		3.9151419753344615e-06	3.84185582437181	2.652132938121624e-06	8.840443127072085e-07		0.206456456456455	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	0.5	hr		5.375621410062941e-05	45.9024375891432	2.4709491179957266e-05	8.23649705998576e-06		0.5	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	1.0	hr		0.00016904923743431386	119.479854756519	3.518983052554769e-05	1.1729943508515898e-05		1.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	1.5	hr		0.00015901685789525044	113.01604279831	3.417295885399743e-05	1.1390986284665813e-05		1.5	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	2.0	hr		0.00012944079959886258	92.5089123499886	2.8694093307100856e-05	9.564697769033624e-06		2.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	4.0	hr		5.496554148679829e-05	41.0701765756936	1.5239888557122396e-05	5.079962852374137e-06		4.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	6.0	hr		3.0145392684566325e-05	21.785335431435	7.094496941818291e-06	2.364832313939436e-06		6.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	8.0	hr		2.3601562317939828e-05	17.2470560934556	5.880584850360341e-06	1.96019495012012e-06		8.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	10.0	hr		1.6532989133291367e-05	12.2167734899679	4.350384353833247e-06	1.450128117944417e-06		10.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	12.0	hr		1.231209780023581e-05	10.5719375584352	5.759590333841453e-06	1.9198634446138117e-06		12.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	18.0	hr		6.041618702097436e-06	4.59024375891432	1.804951825961231e-06	6.016506086537435e-07		18.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	24.0	hr		6.752467326243642e-06	4.90705873208848	1.6356672585229915e-06	5.452224195076633e-07		24.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	312.0	hr		7.422074226874273e-06	5.3637508829748	1.7467307012877778e-06	5.822435670959266e-07	Day 14	0.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	312.225225225225	hr		1.0362220501705247e-05	7.24274811291779	2.0185455032824277e-06	6.728485010941419e-07	Day 14	0.225225225225225	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	312.5	hr		6.246634080296341e-05	50.7357412331204	2.4261421988695384e-05	8.087140662898461e-06	Day 14	0.5	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	313.0	hr		0.0001625941827558752	115.5585097097	3.49417312778e-05	1.1647243759266666e-05	Day 14	1.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	313.5	hr		0.0001537979030401501	111.765863739454	3.7254855488831115e-05	1.2418285162943708e-05	Day 14	1.5	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	314.0	hr		0.00012041212502861059	87.5042174990679	2.9167733944155045e-05	9.722577981385025e-06	Day 14	2.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	316.0	hr		5.6830733884973343e-05	41.0701765756936	1.337469615894735e-05	4.4582320529824445e-06	Day 14	4.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	318.0	hr		3.9151419753344616e-05	28.4515728684296	9.48374754311624e-06	3.161249181038752e-06	Day 14	6.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	320.0	hr		3.561924531868291e-05	25.7411543847415	8.38272798856752e-06	2.7942426628558466e-06	Day 14	8.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	322.0	hr		2.3601562317939828e-05	18.8522121704087	8.624441392160512e-06	2.8748137973868378e-06	Day 14	10.0	mole/meter^3	ng/ml
Kasichayanula2011a		MAD2.5	9.0	DAP2.5M	concentration	dapagliflozin 3-o-glucuronide	plasma	LC MS/MS	dapagliflozin 3-o-glucuronide_MAD2.5	324.0	hr		1.6532989133291367e-05	13.2060502924823	6.04145581112282e-06	2.0138186037076066e-06	Day 14	12.0	mole/meter^3	ng/ml
