study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2011	healthy	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	136.0	NA	NA	NA	NA	31.0	ng/ml	geometric mean
Kasichayanula2011	healthy	6.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.0	0.5	2.0	NA	NA	NA	hr	median
Kasichayanula2011	healthy	6.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	48.0	hr	438.0	NA	NA	NA	NA	34.0	ng/ml*hr	NA
Kasichayanula2011	healthy	6.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	465.0	NA	NA	NA	NA	34.0	ng/ml*hr	geometric mean
Kasichayanula2011	healthy	6.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	12.9	NA	NA	5.5	NA	NA	hr	NA
Kasichayanula2011	mild 	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	120.0	NA	NA	NA	NA	28.0	ng/ml	geometric mean
Kasichayanula2011	mild 	6.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	1.25	0.5	3.17	NA	NA	NA	hr	median
Kasichayanula2011	mild 	6.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	48.0	hr	443.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
Kasichayanula2011	mild 	6.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	480.0	NA	NA	NA	NA	26.0	ng/ml*hr	geometric mean
Kasichayanula2011	mild 	6.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	NA	15.0	NA	NA	8.5	NA	NA	hr	16.3
Kasichayanula2011	moderate	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	153.0	NA	NA	NA	NA	51.0	ng/ml	geometric mean
Kasichayanula2011	moderate	6.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	NA	0.75	0.5	3.0	NA	NA	NA	hr	median
