study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
LaCreta2016	NH_fasted	28.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	673.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	NH_fasted	28.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	663.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	NH_fasted	28.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	172.0	NA	NA	NA	NA	32.0	ng/ml	NA
LaCreta2016	NH_fasted	28.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	1.0	0.75	2.0	NA	NA	NA	hr	NA
LaCreta2016	NH_fasted	28.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	11.6	NA	NA	3.5	NA	NA	hr	NA
LaCreta2016	HS_fasted	29.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	629.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	HS_fasted	29.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	650.0	NA	NA	NA	NA	24.0	ng/ml*hr	NA
LaCreta2016	HS_fasted	29.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	176.0	NA	NA	NA	NA	30.0	ng/ml	NA
LaCreta2016	HS_fasted	29.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.75	0.5	1.5	NA	NA	NA	hr	NA
LaCreta2016	HS_fasted	29.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	13.1	NA	NA	4.2	NA	NA	hr	NA
LaCreta2016	HS_fed	29.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	604.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	HS_fed	29.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	635.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	HS_fed	29.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	97.0	NA	NA	NA	NA	28.0	ng/ml	NA
LaCreta2016	HS_fed	29.0	DAP10	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.0	0.75	4.0	NA	NA	NA	hr	NA
LaCreta2016	HS_fed	29.0	DAP10	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	13.2	NA	NA	3.8	NA	NA	hr	NA
