study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	cv	unit	comments
LaCreta2016	NH_fasted	28.0	DAP2.5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	151.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
LaCreta2016	NH_fasted	28.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	170.0	NA	NA	NA	NA	26.0	ng/ml*hr	NA
LaCreta2016	NH_fasted	28.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	45.0	NA	NA	NA	NA	26.0	ng/ml	NA
LaCreta2016	NH_fasted	28.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.75	0.5	1.5	NA	NA	NA	hr	NA
LaCreta2016	NH_fasted	28.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	10.5	NA	NA	2.5	NA	NA	hr	NA
LaCreta2016	HS_fasted	26.0	DAP2.5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	151.0	NA	NA	NA	NA	24.0	ng/ml*hr	NA
LaCreta2016	HS_fasted	26.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	166.0	NA	NA	NA	NA	29.0	ng/ml*hr	NA
LaCreta2016	HS_fasted	26.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	45.6	NA	NA	NA	NA	25.0	ng/ml	NA
LaCreta2016	HS_fasted	26.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	0.75	0.5	1.5	NA	NA	NA	hr	NA
LaCreta2016	HS_fasted	26.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	9.5	NA	NA	3.0	NA	NA	hr	NA
LaCreta2016	NH_fed	27.0	DAP2.5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	137.0	NA	NA	NA	NA	26.0	ng/ml*hr	NA
LaCreta2016	NH_fed	27.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	154.0	NA	NA	NA	NA	23.0	ng/ml*hr	NA
LaCreta2016	NH_fed	27.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	25.0	NA	NA	NA	NA	53.0	ng/ml	NA
LaCreta2016	NH_fed	27.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.0	0.5	4.0	NA	NA	NA	hr	NA
LaCreta2016	NH_fed	27.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	10.0	NA	NA	2.2	NA	NA	hr	NA
LaCreta2016	HS_fed	28.0	DAP2.5	auc_end	dapagliflozin	plasma	LC MS/MS	24.0	hr	135.0	NA	NA	NA	NA	27.0	ng/ml*hr	NA
LaCreta2016	HS_fed	28.0	DAP2.5	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	hr	151.0	NA	NA	NA	NA	21.0	ng/ml*hr	NA
LaCreta2016	HS_fed	28.0	DAP2.5	cmax	dapagliflozin	plasma	LC MS/MS	NA	hr	22.4	NA	NA	NA	NA	32.0	ng/ml	NA
LaCreta2016	HS_fed	28.0	DAP2.5	tmax	dapagliflozin	plasma	LC MS/MS	NA	hr	2.0	0.5	4.03	NA	NA	NA	hr	NA
LaCreta2016	HS_fed	28.0	DAP2.5	thalf	dapagliflozin	plasma	LC MS/MS	NA	hr	10.2	NA	NA	2.3	NA	NA	hr	NA
