study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Hwang2022a	Male	94.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	196.97	NA	NA	NA	73.87	NA	NA	ng/ml	NA
Hwang2022a	Male	94.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	578.02	NA	NA	NA	151.99	NA	NA	ng/ml*hr	NA
Hwang2022a	Male	94.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	48.0	hr	107.58	NA	NA	NA	54.73	NA	NA	ng/ml*hr	NA
Hwang2022a	Female	6.0	DAP10	cmax	dapagliflozin	plasma	LC MS/MS	NA	NA	203.39	NA	NA	NA	70.88	NA	NA	ng/ml	NA
Hwang2022a	Female	6.0	DAP10	auc_inf	dapagliflozin	plasma	LC MS/MS	NA	NA	659.78	NA	NA	NA	180.8	NA	NA	ng/ml*hr	NA
Hwang2022a	Female	6.0	DAP10	auc_end	dapagliflozin	plasma	LC MS/MS	48.0	hr	93.97	NA	NA	NA	57.2	NA	NA	ng/ml*hr	NA
Hwang2022a	Male	94.0	SIT100	cmax	sitagliptin	plasma	LC MS/MS	NA	NA	463.54	NA	NA	NA	123.67	NA	NA	ng/ml	NA
Hwang2022a	Male	94.0	SIT100	auc_inf	sitagliptin	plasma	LC MS/MS	NA	NA	3475.82	NA	NA	NA	634.56	NA	NA	ng/ml*hr	NA
Hwang2022a	Male	94.0	SIT100	auc_end	sitagliptin	plasma	LC MS/MS	72.0	hr	473.9	NA	NA	NA	198.1	NA	NA	ng/ml*hr	NA
Hwang2022a	Female	6.0	SIT100	cmax	sitagliptin	plasma	LC MS/MS	NA	NA	499.01	NA	NA	NA	128.1	NA	NA	ng/ml	NA
Hwang2022a	Female	6.0	SIT100	auc_inf	sitagliptin	plasma	LC MS/MS	NA	NA	3679.27	NA	NA	NA	354.87	NA	NA	ng/ml*hr	NA
Hwang2022a	Female	6.0	SIT100	auc_end	sitagliptin	plasma	LC MS/MS	72.0	hr	441.59	NA	NA	NA	121.79	NA	NA	ng/ml*hr	NA
