Study	PubMed ID	Model Type	Platform/Software	Open Software	Open Model	Open Code	Open Data	Reproducibility	FAIR	Longterm Storage	Resources	Studies	Clinical Data Used	Scope
Balazki2018	30270578	QSP + PBPK/PD	PK-Sim, MoBi, OSPS, R	Yes	Yes	Yes	Yes	No	No	No	https://github.com/Open-Systems-Pharmacology/SGLT2i-hyperfiltration-model Model, Data, Code in supplement;	7	7 clinical studies; digitized literature data	Renal hyperfiltration, tubuloglomerular feedback, glucose-sodium reabsorption, SGLT2 inhibition effects on GFR
Busse2019	31077437	PopPK + PK/PD	NONMEM, PsN, R	No	No	No	No	No	No	No	-	2	2 clinical studies (T1DM adolescents + adults; PK + UGE ER); clinical studies referenced	Pharmacokinetics, exposure-urinary glucose excretion relationship, body weight and eGFR effects in Type 1 diabetes (adolescents vs adults)
Callegari2021	33314761	PBPK	Simcyp	No	No	No	No	No	No	No	-	1	1 clinical DDI study (ertugliflozin + mefenamic acid), literature PK for dapagliflozin;	PBPK modeling (ertugliflozin), UGT-mediated drug-drug interaction prediction with mefenamic acid, absorption and metabolism pathways
Guo2025	40230691	PBPK/PD	PK-Sim, MoBi, OriginLab	Yes	No	No	No	No	No	No	-	25	~25 clinical PK/PD studies	PBPK/PD modeling of four SGLT2 inhibitors (dapagliflozin, canagliflozin, empagliflozin, ipragliflozin), enal tubule structure, renal glucose reabsorption, urinary glucose excretion, dose optimization in T2DM with renal insufficiency
Jo2021	33439535	PBPK	Simcyp	No	No	No	No	No	No	No	-	7	7 clinical studies; trials registered on ClinicalTrials.gov	PBPK model incorporating UGT1A9 ontogeny for pediatric dose selection, DDIs with rifampin/mefenamic acid, hepatic/renal impairment predictions
Maurer2011	21870203	PK/PD	NONMEM	No	No	No	No	No	No	No	-	1	1 published study: Komoroski et al. 2009; digitized literature data; data not shared	Biologically-based PK/PD model of UGE, rat-to-human translational pharmacology
Mori2016	27604638	PBPK/PD	Simcyp, simBio	No	No	No	No	No	No	No	-	14	14 studies total: 8 canagliflozin studies, 6 dapagliflozin studies; clinical studies referenced	PBPK/PD model predicting canagliflozin and dapagliflozin concentrations in intestinal lumen and renal proximal tubules, SGLT1/2 inhibition ratios, urinary glucose excretion validation
Shah2021	33368935	QSP PK/PD	Monolix, R	No	No	No	No	No	No	No	-	5	5 studies total (1 phase IIa + 4 phase III), trials registered on ClinicalTrials.gov	Quantitative systems pharmacology (QSP) model integrating dapagliflozin PK, glucose-insulin homeostasis, renal glucose reabsorption, and HbA1c formation to predict treatment effect in T2DM patients
Shahidehpour2024	39160349	Mechanistic PK	Python	Yes	No	No	No	No	No	No	-	-	Secondary literature values (number of studies not specified)	Methodology for estimating drug clearance in chronic kidney disease (CKD) using probability density functions from secondary data, mechanistic models, and PK first principles—applied to metformin and dapagliflozin PK modeling and dose adjustment
Sokolov2019	30456904	PK/PD	NONMEM, R	No	No	No	No	No	No	No	-	2	2 clinical studies (not publicly available)	Exposure-response modeling of dapagliflozin PK and 24h-UGE in T1DM patients, comparing Japanese vs non-Japanese populations with covariate effects (eGFR, SMBG, insulin dose)
vanderAartvanderBeek2021	33587286	PopPK	NONMEM, R	No	No	No	No	No	No	No	-	1	1 clinical trial	Population PK modeling in non-diabetic CKD patients and linking exposure to changes in kidney risk markers
VanDerWalt2013	23887724	PopPK	NONMEM, R	No	Yes	Yes	No	No	No	No	NONMEM code in supplement	3	3 clinical studies	Population PK model for dapagliflozin and its inactive metabolite D3OG, quantifying renal vs hepatic contributions to UGT1A9-mediated metabolism in subjects with renal/hepatic impairment
Yao2023	36890732	Meta-analytic PK/PD	NONMEM, R	No	No	No	No	No	No	No	-	80	80 papers across 3 drugs; digitized literature data; data not shared	Study-level meta-analysis of PK/PD relationships across SGLT2 inhibitors
Nemitz2025	-	PBPK/PD	SBML, Python	Yes	Yes	Yes	Yes	Yes	Yes	Yes	https://github.com/matthiaskoenig/dapagliflozin-model Model, Data, Code in github repository; CI/CD workflow for reproducibility; longterm storage on zenodo: https://doi.org/10.5281/zenodo.13987865 	28	28 clinical studies; digitized literature data	Whole-body mechanistic PBPK/PD model of dapagliflozin linking ADME to SGLT2-mediated urinary glucose excretion and renal threshold for glucose, capturing dose dependency, renal and hepatic impairment, and food effects, implemented in SBML with full FAIR compliance
